"# servo_id=1 center=2049 amp_deg=15.0 cmd_hz=100.0 acc=None torque_limit=None note='leg servo 7.4V (control unit), no load, 7.5V/2.5A' hz=0.5 ratio=0.986 lag_ms=80.2 accel_est=None"
t_s,cmd_cnt,pos_cnt,speed_raw,load_duty_permille
0.0000,2049,2049,0,0
0.0007,2049,2049,0,0
0.0011,2049,2049,0,0
0.0015,2049,2049,0,0
0.0018,2049,2049,0,0
0.0022,2049,2049,0,0
0.0026,2049,2049,0,0
0.0029,2049,2049,0,0
0.0033,2049,2049,0,0
0.0036,2049,2049,0,0
0.0040,2049,2049,0,0
0.0043,2049,2049,0,0
0.0048,2049,2049,0,0
0.0052,2049,2049,0,0
0.0055,2049,2049,0,0
0.0059,2049,2049,0,0
0.0062,2049,2049,0,0
0.0066,2049,2049,0,0
0.0069,2049,2049,0,0
0.0073,2049,2049,0,0
0.0077,2049,2049,0,0
0.0081,2049,2049,0,0
0.0085,2049,2049,0,0
0.0089,2049,2049,0,0
0.0093,2049,2049,0,0
0.0097,2049,2049,0,0
0.0101,2054,2049,0,0
0.0108,2054,2049,0,0
0.0113,2054,2049,0,0
0.0117,2054,2049,0,0
0.0121,2054,2049,0,0
0.0125,2054,2049,0,0
0.0128,2054,2049,0,0
0.0132,2054,2049,0,0
0.0136,2054,2049,0,0
0.0140,2054,2049,0,0
0.0144,2054,2049,0,0
0.0148,2054,2049,0,0
0.0152,2054,2049,0,0
0.0156,2054,2049,0,0
0.0161,2054,2049,0,0
0.0165,2054,2049,0,0
0.0168,2054,2049,0,0
0.0172,2054,2049,0,0
0.0176,2054,2049,0,0
0.0180,2054,2049,0,0
0.0184,2054,2049,0,0
0.0188,2054,2049,0,0
0.0192,2054,2049,0,0
0.0196,2054,2049,0,0
0.0200,2054,2049,0,0
0.0204,2060,2049,0,0
0.0212,2060,2049,0,0
0.0216,2060,2049,0,0
0.0220,2060,2049,0,0
0.0224,2060,2049,0,0
0.0228,2060,2049,0,0
0.0232,2060,2049,0,0
0.0236,2060,2049,0,0
0.0239,2060,2049,0,0
0.0243,2060,2049,0,0
0.0247,2060,2049,0,0
0.0251,2060,2049,0,0
0.0255,2060,2049,0,0
0.0259,2060,2049,0,0
