"# servo_id=1 center=2049 amp_deg=15.0 cmd_hz=100.0 acc=None torque_limit=None note='leg servo 7.4V (control unit), no load, 7.5V/2.5A' hz=1.4 ratio=0.525 lag_ms=330.7 accel_est=8.352851065537426"
t_s,cmd_cnt,pos_cnt,speed_raw,load_duty_permille
0.0005,2050,2048,0,0
0.0017,2050,2048,0,0
0.0022,2050,2048,0,0
0.0028,2050,2048,0,0
0.0033,2050,2048,0,0
0.0037,2050,2048,0,0
0.0042,2050,2048,0,0
0.0047,2050,2048,0,0
0.0051,2050,2048,0,0
0.0056,2050,2048,0,0
0.0060,2050,2048,0,0
0.0064,2050,2048,0,0
0.0068,2050,2048,0,0
0.0072,2050,2048,0,0
0.0076,2050,2048,0,0
0.0081,2050,2048,0,0
0.0085,2050,2048,0,0
0.0089,2050,2048,0,0
0.0093,2050,2048,0,0
0.0098,2050,2048,0,0
0.0102,2064,2048,0,0
0.0110,2064,2048,0,0
0.0115,2064,2048,0,0
0.0119,2064,2048,0,0
0.0123,2064,2048,0,0
0.0126,2064,2048,0,0
0.0130,2064,2048,0,0
0.0134,2064,2048,0,0
0.0138,2064,2048,0,0
0.0142,2064,2048,0,0
0.0146,2064,2048,0,0
0.0150,2064,2048,0,0
0.0154,2064,2048,0,0
0.0158,2064,2048,0,-24
0.0162,2064,2048,0,-24
0.0165,2064,2048,0,-24
0.0169,2064,2048,0,-24
0.0173,2064,2048,0,-24
0.0178,2064,2048,0,-24
0.0182,2064,2048,0,-24
0.0186,2064,2048,0,-24
0.0189,2064,2048,0,-24
0.0193,2064,2048,0,-24
0.0198,2064,2048,0,-24
0.0201,2079,2048,0,-24
0.0209,2079,2048,0,-24
0.0213,2079,2048,0,-24
0.0217,2079,2048,0,-24
0.0221,2079,2048,0,-24
0.0225,2079,2048,0,-24
0.0228,2079,2048,0,-24
0.0232,2079,2048,0,-24
0.0236,2079,2048,0,-24
0.0240,2079,2048,0,-24
0.0244,2079,2048,0,-40
0.0248,2079,2048,0,-40
0.0252,2079,2048,0,-40
0.0256,2079,2048,0,-40
0.0260,2079,2048,0,-40
0.0264,2079,2048,0,-40
0.0268,2079,2048,0,-40
0.0272,2079,2048,0,-40
0.0276,2079,2048,0,-40
0.0279,2079,2048,0,-40
0.0283,2079,2048,0,-40
0.0288,2079,2048,0,-40
0.0292,2079,2048,0,-40
0.0296,2079,2048,0,-40
0.0300,2079,2048,0,-40
0.0303,2094,2048,0,-48
0.0311,2094,2048,0,-48
0.0315,2094,2048,0,-48
0.0319,2094,2048,0,-48
0.0323,2094,2048,0,-48
0.0328,2094,2048,0,-48
0.0332,2094,2048,0,-48
0.0335,2094,2048,0,-48
0.0339,2094,2048,0,-48
0.0343,2094,2048,0,-48
0.0348,2094,2048,0,-48
0.0352,2094,2048,0,-48
0.0355,2094,2048,0,-48
0.0359,2094,2048,0,-48
0.0363,2094,2048,0,-56
0.0368,2094,2048,0,-56
0.0371,2094,2048,0,-56
0.0375,2094,2048,0,-56
0.0379,2094,2048,0,-56
0.0383,2094,2048,0,-56
0.0388,2094,2048,0,-56
0.0392,2094,2048,0,-56
0.0395,2094,2048,0,-56
0.0399,2094,2048,0,-56
0.0403,2108,2048,0,-56
0.0410,2108,2048,0,-56
0.0414,2108,2048,0,-64
0.0418,2108,2048,0,-64
0.0421,2108,2048,0,-64
0.0425,2108,2048,0,-64
0.0429,2108,2048,0,-64
0.0432,2108,2048,0,-64
0.0436,2108,2048,0,-64
0.0439,2108,2048,0,-64
0.0443,2108,2048,0,-68
0.0446,2108,2048,0,-68
0.0450,2108,2048,0,-68
0.0454,2108,2048,0,-76
0.0458,2108,2048,0,-76
0.0461,2108,2048,0,-76
0.0465,2108,2048,0,-76
0.0469,2108,2048,0,-76
0.0473,2108,2048,0,-76
0.0478,2108,2048,0,-76
0.0482,2108,2048,0,-76
0.0485,2108,2048,0,-76
0.0489,2108,2048,0,-76
0.0493,2108,2048,0,-84
0.0497,2108,2048,0,-84
0.0500,2122,2048,0,-84
0.0508,2122,2048,0,-84
0.0512,2122,2048,0,-84
0.0516,2122,2048,0,-84
0.0520,2122,2048,0,-84
0.0523,2122,2048,0,-84
0.0528,2122,2048,0,-84
0.0531,2122,2048,0,-84
0.0535,2122,2048,0,-92
0.0539,2122,2048,0,-92
0.0543,2122,2049,0,-84
0.0546,2122,2049,0,-84
0.0550,2122,2049,0,-84
0.0554,2122,2049,0,-84
0.0558,2122,2049,0,-84
0.0562,2122,2049,0,-84
0.0566,2122,2049,0,-92
0.0569,2122,2049,0,-92
0.0573,2122,2049,0,-92
0.0578,2122,2049,0,-92
0.0581,2122,2049,0,-92
0.0585,2122,2049,0,-92
0.0589,2122,2049,0,-92
0.0593,2122,2049,0,-92
0.0598,2122,2049,0,-92
0.0602,2135,2049,0,-100
0.0609,2135,2049,0,-100
0.0613,2135,2049,0,-100
0.0616,2135,2049,0,-100
0.0620,2135,2049,0,-100
0.0624,2135,2050,0,-92
0.0628,2135,2050,0,-92
0.0632,2135,2050,0,-92
0.0636,2135,2050,0,-100
0.0640,2135,2050,0,-100
0.0644,2135,2050,0,-104
0.0648,2135,2050,0,-104
0.0652,2135,2050,0,-104
0.0655,2135,2050,0,-104
0.0660,2135,2050,0,-104
0.0663,2135,2050,100,-112
0.0668,2135,2050,100,-112
0.0671,2135,2050,100,-112
0.0675,2135,2051,100,-104
0.0679,2135,2051,100,-104
0.0683,2135,2051,100,-104
0.0688,2135,2051,100,-104
0.0692,2135,2051,100,-104
0.0696,2135,2051,100,-112
0.0699,2135,2051,100,-112
0.0703,2148,2051,100,-112
0.0711,2148,2051,100,-112
0.0715,2148,2052,100,-112
0.0719,2148,2052,100,-112
0.0723,2148,2052,100,-112
0.0727,2148,2052,100,-112
0.0731,2148,2052,100,-112
0.0735,2148,2052,100,-112
0.0739,2148,2052,100,-112
0.0742,2148,2052,100,-120
0.0746,2148,2052,100,-120
0.0750,2148,2052,100,-120
0.0754,2148,2052,100,-120
0.0758,2148,2052,100,-120
0.0762,2148,2053,100,-120
0.0766,2148,2053,100,-120
0.0769,2148,2053,100,-120
0.0773,2148,2053,100,-120
