"# servo_id=1 center=2049 amp_deg=15.0 cmd_hz=100.0 acc=None torque_limit=None note='leg servo 7.4V (control unit), no load, 7.5V/2.5A' hz=1.0 ratio=1.012 lag_ms=236.9 accel_est=None"
t_s,cmd_cnt,pos_cnt,speed_raw,load_duty_permille
0.0012,2050,2048,0,0
0.0023,2050,2048,0,0
0.0028,2050,2048,0,0
0.0032,2050,2048,0,0
0.0037,2050,2048,0,0
0.0041,2050,2048,0,0
0.0046,2050,2048,0,0
0.0051,2050,2048,0,0
0.0055,2050,2048,0,0
0.0059,2050,2048,0,0
0.0064,2050,2048,0,0
0.0069,2050,2048,0,0
0.0073,2050,2048,0,0
0.0077,2050,2048,0,0
0.0082,2050,2048,0,0
0.0086,2050,2048,0,0
0.0090,2050,2048,0,0
0.0094,2050,2048,0,0
0.0099,2050,2048,0,0
0.0103,2060,2048,0,0
0.0111,2060,2048,0,0
0.0116,2060,2048,0,0
0.0120,2060,2048,0,0
0.0124,2060,2048,0,0
0.0128,2060,2048,0,0
0.0133,2060,2048,0,0
0.0137,2060,2048,0,0
0.0141,2060,2048,0,0
0.0145,2060,2048,0,0
0.0149,2060,2048,0,0
0.0153,2060,2048,0,0
0.0158,2060,2048,0,-24
0.0162,2060,2048,0,-24
0.0166,2060,2048,0,-24
0.0171,2060,2048,0,-24
0.0176,2060,2048,0,-24
0.0180,2060,2048,0,-24
0.0184,2060,2048,0,-24
0.0188,2060,2048,0,-24
0.0192,2060,2048,0,-24
0.0196,2060,2048,0,-24
0.0201,2070,2048,0,-24
0.0209,2070,2048,0,-24
0.0213,2070,2048,0,-24
0.0218,2070,2048,0,-24
0.0223,2070,2048,0,-24
0.0227,2070,2048,0,-24
0.0231,2070,2048,0,-24
0.0236,2070,2048,0,-24
0.0240,2070,2048,0,-24
0.0244,2070,2048,0,-40
0.0248,2070,2048,0,-40
0.0252,2070,2048,0,-40
0.0256,2070,2048,0,-40
0.0260,2070,2048,0,-40
0.0264,2070,2048,0,-40
0.0268,2070,2048,0,-40
0.0272,2070,2048,0,-40
0.0276,2070,2048,0,-40
0.0281,2070,2048,0,-40
0.0286,2070,2048,0,-40
0.0290,2070,2048,0,-40
0.0294,2070,2048,0,-40
0.0299,2070,2048,0,-40
0.0303,2081,2048,0,-48
0.0311,2081,2048,0,-48
0.0316,2081,2048,0,-48
0.0320,2081,2048,0,-48
0.0325,2081,2048,0,-48
0.0329,2081,2048,0,-48
0.0333,2081,2048,0,-48
0.0337,2081,2048,0,-48
0.0341,2081,2048,0,-48
0.0346,2081,2048,0,-48
0.0350,2081,2048,0,-48
0.0354,2081,2048,0,-48
0.0359,2081,2048,0,-48
0.0363,2081,2048,0,-48
0.0367,2081,2048,0,-56
0.0371,2081,2048,0,-56
0.0376,2081,2048,0,-56
0.0380,2081,2048,0,-56
0.0384,2081,2048,0,-56
0.0388,2081,2048,0,-56
0.0392,2081,2048,0,-56
0.0396,2081,2048,0,-56
0.0401,2092,2048,0,-64
0.0409,2092,2048,0,-64
0.0413,2092,2048,0,-64
0.0417,2092,2048,0,-64
0.0422,2092,2048,0,-64
0.0426,2092,2048,0,-64
0.0431,2092,2048,0,-64
0.0436,2092,2048,0,-64
0.0440,2092,2048,0,-64
0.0445,2092,2048,0,-68
0.0449,2092,2048,0,-68
0.0453,2092,2048,0,-68
0.0457,2092,2048,0,-76
0.0461,2092,2048,0,-76
0.0466,2092,2048,0,-76
0.0470,2092,2048,0,-76
0.0475,2092,2048,0,-76
0.0480,2092,2048,0,-76
0.0484,2092,2048,0,-76
0.0488,2092,2048,0,-76
0.0493,2092,2048,0,-76
0.0497,2092,2048,0,-84
0.0501,2102,2048,0,-84
0.0510,2102,2048,0,-84
0.0514,2102,2048,0,-84
0.0519,2102,2048,0,-84
0.0524,2102,2048,0,-92
0.0529,2102,2048,0,-92
0.0533,2102,2048,0,-92
0.0538,2102,2048,0,-92
0.0542,2102,2048,0,-92
0.0547,2102,2048,0,-92
0.0552,2102,2048,0,-92
0.0556,2102,2049,0,-84
0.0560,2102,2049,0,-84
0.0564,2102,2049,0,-92
0.0569,2102,2049,0,-92
0.0575,2102,2049,0,-92
0.0580,2102,2049,0,-92
0.0586,2102,2049,0,-92
0.0592,2102,2049,0,-92
0.0597,2102,2049,0,-100
0.0603,2112,2049,0,-100
0.0613,2112,2050,0,-92
0.0619,2112,2050,0,-92
0.0624,2112,2050,0,-100
0.0629,2112,2050,0,-100
0.0635,2112,2050,0,-100
0.0640,2112,2050,0,-100
0.0647,2112,2050,0,-104
0.0653,2112,2050,0,-112
0.0659,2112,2050,0,-112
0.0665,2112,2051,150,-104
0.0671,2112,2051,150,-104
0.0676,2112,2051,150,-104
0.0681,2112,2051,150,-104
0.0686,2112,2051,150,-112
0.0691,2112,2051,150,-112
0.0696,2112,2051,150,-112
0.0700,2122,2052,150,-104
0.0710,2122,2052,150,-104
0.0715,2122,2052,150,-112
0.0719,2122,2052,150,-112
0.0724,2122,2052,150,-112
0.0729,2122,2052,150,-112
0.0734,2122,2052,150,-120
0.0740,2122,2052,150,-120
0.0745,2122,2053,150,-112
0.0751,2122,2053,150,-112
0.0756,2122,2053,150,-112
0.0762,2122,2053,150,-120
0.0768,2122,2053,150,-120
0.0773,2122,2054,150,-112
0.0779,2122,2054,150,-112
0.0784,2122,2054,150,-120
0.0789,2122,2054,150,-120
0.0794,2122,2054,150,-120
0.0799,2122,2054,150,-120
0.0804,2132,2054,150,-120
0.0813,2132,2054,150,-128
0.0818,2132,2054,150,-128
0.0823,2132,2055,150,-120
0.0827,2132,2055,150,-120
0.0832,2132,2055,150,-120
0.0836,2132,2055,150,-128
0.0840,2132,2055,150,-128
0.0844,2132,2055,150,-124
0.0849,2132,2055,150,-124
0.0853,2132,2055,150,-132
0.0857,2132,2055,150,-132
0.0861,2132,2055,150,-132
0.0866,2132,2056,250,-124
0.0870,2132,2056,250,-124
0.0875,2132,2056,250,-132
0.0879,2132,2056,250,-132
0.0884,2132,2057,250,-124
0.0888,2132,2057,250,-124
0.0892,2132,2057,250,-124
0.0896,2132,2057,250,-124
0.0900,2140,2057,250,-132
0.0909,2140,2057,250,-132
0.0912,2140,2058,250,-124
0.0916,2140,2058,250,-124
0.0921,2140,2058,250,-124
0.0925,2140,2058,250,-132
0.0929,2140,2058,250,-132
0.0933,2140,2058,250,-132
0.0938,2140,2058,250,-132
0.0942,2140,2059,250,-132
0.0946,2140,2059,250,-132
0.0951,2140,2059,250,-132
0.0955,2140,2059,250,-132
0.0959,2140,2059,250,-132
0.0963,2140,2059,250,-140
0.0968,2140,2059,250,-140
0.0973,2140,2060,250,-132
0.0978,2140,2060,250,-132
0.0981,2140,2060,250,-132
0.0986,2140,2060,250,-140
0.0989,2140,2060,250,-140
0.0994,2140,2061,250,-132
0.0998,2140,2061,250,-132
0.1002,2149,2061,250,-140
0.1010,2149,2061,250,-140
0.1014,2149,2061,250,-140
0.1019,2149,2061,250,-140
0.1023,2149,2062,250,-140
0.1027,2149,2062,250,-140
0.1031,2149,2062,250,-140
0.1036,2149,2062,250,-140
0.1040,2149,2062,250,-140
0.1044,2149,2062,250,-148
0.1049,2149,2062,250,-148
0.1053,2149,2063,250,-148
0.1057,2149,2063,250,-148
0.1061,2149,2063,350,-148
0.1066,2149,2063,350,-148
0.1070,2149,2063,350,-148
0.1075,2149,2063,350,-156
0.1079,2149,2063,350,-156
0.1083,2149,2064,350,-148
0.1087,2149,2064,350,-148
0.1092,2149,2064,350,-156
0.1096,2149,2064,350,-156
0.1100,2158,2065,350,-148
0.1108,2158,2065,350,-148
0.1113,2158,2065,350,-156
0.1117,2158,2065,350,-156
0.1121,2158,2066,350,-156
0.1126,2158,2066,350,-156
0.1130,2158,2066,350,-156
0.1134,2158,2066,350,-156
0.1138,2158,2066,350,-156
0.1143,2158,2066,350,-164
0.1147,2158,2066,350,-164
0.1151,2158,2067,350,-156
0.1156,2158,2067,350,-156
0.1160,2158,2067,350,-156
0.1164,2158,2067,350,-164
0.1168,2158,2067,350,-164
0.1171,2158,2068,350,-156
0.1176,2158,2068,350,-156
0.1179,2158,2068,350,-156
0.1183,2158,2068,350,-164
0.1187,2158,2068,350,-164
0.1192,2158,2069,350,-164
0.1196,2158,2069,350,-164
0.1200,2158,2069,350,-164
0.1204,2166,2069,350,-164
0.1211,2166,2069,350,-164
0.1214,2166,2069,350,-172
0.1218,2166,2069,350,-172
0.1222,2166,2070,350,-172
0.1226,2166,2070,350,-172
0.1229,2166,2070,350,-172
0.1233,2166,2070,350,-172
0.1237,2166,2070,350,-172
0.1241,2166,2071,350,-172
0.1246,2166,2071,350,-172
0.1250,2166,2071,350,-172
0.1253,2166,2071,350,-180
0.1257,2166,2071,350,-180
0.1261,2166,2072,450,-172
0.1266,2166,2072,450,-172
0.1269,2166,2072,450,-172
0.1274,2166,2072,450,-180
0.1278,2166,2072,450,-180
0.1282,2166,2073,450,-172
0.1286,2166,2073,450,-172
0.1290,2166,2073,450,-172
0.1293,2166,2073,450,-180
0.1297,2166,2073,450,-180
0.1301,2174,2074,450,-180
0.1309,2174,2074,450,-180
0.1314,2174,2074,450,-180
0.1318,2174,2074,450,-180
0.1322,2174,2075,450,-180
0.1326,2174,2075,450,-180
0.1330,2174,2075,450,-180
0.1333,2174,2076,450,-180
0.1337,2174,2076,450,-180
0.1341,2174,2076,450,-188
0.1346,2174,2076,450,-188
0.1350,2174,2076,450,-188
0.1354,2174,2076,450,-188
0.1358,2174,2076,450,-188
0.1362,2174,2077,450,-188
0.1366,2174,2077,450,-188
0.1370,2174,2077,450,-196
0.1374,2174,2077,450,-196
0.1378,2174,2077,450,-196
0.1382,2174,2078,450,-188
0.1386,2174,2078,450,-188
0.1390,2174,2078,450,-196
0.1394,2174,2078,450,-196
0.1399,2174,2078,450,-196
0.1403,2181,2079,450,-196
0.1412,2181,2080,450,-196
0.1416,2181,2080,450,-196
0.1421,2181,2080,450,-196
0.1426,2181,2080,450,-196
0.1431,2181,2081,450,-196
0.1436,2181,2081,450,-196
0.1442,2181,2081,450,-208
0.1447,2181,2081,450,-208
0.1452,2181,2082,450,-200
0.1457,2181,2082,450,-200
0.1463,2181,2083,550,-200
0.1469,2181,2083,550,-200
0.1473,2181,2083,550,-208
0.1478,2181,2083,550,-208
0.1482,2181,2084,550,-208
0.1486,2181,2084,550,-208
0.1491,2181,2084,550,-208
0.1495,2181,2084,550,-208
0.1499,2181,2084,550,-208
0.1503,2187,2085,550,-208
0.1511,2187,2085,550,-216
0.1515,2187,2085,550,-216
0.1519,2187,2086,550,-216
0.1523,2187,2086,550,-216
0.1528,2187,2086,550,-216
0.1532,2187,2086,550,-224
0.1536,2187,2086,550,-224
0.1540,2187,2087,550,-216
0.1544,2187,2087,550,-216
0.1548,2187,2087,550,-216
0.1552,2187,2088,550,-216
0.1557,2187,2088,550,-216
0.1561,2187,2089,550,-216
0.1565,2187,2089,550,-216
0.1568,2187,2089,550,-216
0.1572,2187,2089,550,-224
0.1576,2187,2089,550,-224
0.1580,2187,2090,550,-224
0.1584,2187,2090,550,-224
0.1588,2187,2090,550,-224
0.1592,2187,2090,550,-224
0.1596,2187,2090,550,-224
0.1601,2193,2090,550,-232
0.1608,2193,2090,550,-232
