"# servo_id=1 center=2046 amp_deg=15.0 cmd_hz=100.0 acc=254 torque_limit=None note='leg 7.4V no load, acc=254' hz=2.0 ratio=0.269 lag_ms=259.5 accel_est=8.733025083716823"
t_s,cmd_cnt,pos_cnt,speed_raw,load_duty_permille
0.0000,2046,2046,0,0
0.0008,2046,2046,0,0
0.0012,2046,2046,0,0
0.0016,2046,2046,0,0
0.0020,2046,2046,0,0
0.0024,2046,2046,0,0
0.0028,2046,2046,0,0
0.0032,2046,2046,0,0
0.0036,2046,2046,0,0
0.0040,2046,2046,0,0
0.0044,2046,2046,0,0
0.0048,2046,2046,0,0
0.0052,2046,2046,0,0
0.0056,2046,2046,0,0
0.0060,2046,2046,0,0
0.0064,2046,2046,0,0
0.0068,2046,2046,0,0
0.0072,2046,2046,0,0
0.0076,2046,2046,0,0
0.0080,2046,2046,0,0
0.0084,2046,2046,0,0
0.0088,2046,2046,0,0
0.0092,2046,2046,0,0
0.0096,2046,2046,0,0
0.0100,2046,2046,0,0
0.0104,2068,2046,0,0
0.0112,2068,2046,0,0
0.0116,2068,2046,0,0
0.0120,2068,2046,0,0
0.0123,2068,2046,0,0
0.0128,2068,2046,0,0
0.0132,2068,2046,0,0
0.0136,2068,2046,0,0
0.0140,2068,2046,0,0
0.0144,2068,2046,0,0
0.0148,2068,2046,0,0
0.0152,2068,2046,0,0
0.0156,2068,2046,0,0
0.0160,2068,2046,0,0
0.0164,2068,2046,0,0
0.0168,2068,2046,0,0
0.0172,2068,2046,0,0
0.0176,2068,2046,0,0
0.0180,2068,2046,0,0
0.0184,2068,2046,0,0
0.0188,2068,2046,0,0
0.0192,2068,2046,0,0
0.0196,2068,2046,0,0
0.0200,2068,2046,0,0
0.0204,2089,2046,0,0
0.0212,2089,2046,0,0
0.0216,2089,2046,0,0
0.0220,2089,2046,0,0
0.0224,2089,2046,0,0
0.0228,2089,2046,0,0
0.0232,2089,2046,0,0
0.0236,2089,2046,0,0
0.0240,2089,2046,0,0
0.0244,2089,2046,0,0
0.0248,2089,2046,0,0
0.0252,2089,2046,0,0
0.0256,2089,2046,0,0
0.0260,2089,2046,0,0
0.0264,2089,2046,0,0
0.0268,2089,2046,0,0
0.0272,2089,2046,0,0
0.0276,2089,2046,0,0
0.0280,2089,2046,0,0
0.0284,2089,2046,0,0
0.0288,2089,2046,0,0
0.0292,2089,2046,0,0
0.0296,2089,2046,0,0
0.0301,2109,2046,0,0
0.0308,2109,2046,0,0
0.0312,2109,2046,0,0
0.0317,2109,2046,0,0
0.0320,2109,2046,0,0
0.0324,2109,2046,0,-24
0.0328,2109,2046,0,-24
0.0332,2109,2046,0,-24
0.0336,2109,2046,0,-24
0.0340,2109,2046,0,-24
0.0344,2109,2046,0,-24
0.0348,2109,2046,0,-24
0.0352,2109,2046,0,-24
0.0356,2109,2046,0,-24
0.0360,2109,2046,0,-24
0.0364,2109,2046,0,-24
0.0368,2109,2046,0,-24
0.0372,2109,2046,0,-24
0.0376,2109,2046,0,-24
0.0379,2109,2046,0,-24
0.0383,2109,2046,0,-24
0.0388,2109,2046,0,-24
0.0392,2109,2046,0,-24
0.0395,2109,2046,0,-32
0.0399,2109,2046,0,-32
0.0403,2129,2046,0,-32
0.0411,2129,2046,0,-32
0.0414,2129,2046,0,-32
0.0418,2129,2046,0,-32
0.0422,2129,2046,0,-32
0.0425,2129,2046,0,-32
0.0429,2129,2046,0,-32
0.0433,2129,2046,0,-32
0.0437,2129,2046,0,-32
0.0440,2129,2046,0,-32
0.0444,2129,2046,0,-40
0.0448,2129,2046,0,-40
0.0451,2129,2046,0,-40
0.0455,2129,2046,0,-40
0.0459,2129,2046,0,-40
0.0462,2129,2046,0,-40
0.0466,2129,2046,0,-40
0.0471,2129,2046,0,-40
0.0475,2129,2046,0,-40
0.0478,2129,2046,0,-40
0.0482,2129,2046,0,-40
0.0486,2129,2046,0,-40
0.0489,2129,2046,0,-40
0.0493,2129,2046,0,-64
0.0498,2129,2046,0,-64
0.0502,2147,2046,0,-64
0.0509,2147,2046,0,-64
0.0513,2147,2046,0,-64
0.0517,2147,2046,0,-64
0.0521,2147,2046,0,-64
0.0525,2147,2046,0,-64
0.0529,2147,2046,0,-64
0.0533,2147,2046,0,-72
0.0537,2147,2046,0,-72
0.0541,2147,2046,0,-72
0.0545,2147,2046,0,-72
0.0549,2147,2046,0,-72
0.0553,2147,2046,0,-72
0.0557,2147,2046,0,-72
0.0561,2147,2046,0,-72
0.0565,2147,2046,0,-72
0.0569,2147,2046,0,-72
0.0573,2147,2046,0,-80
0.0576,2147,2046,0,-80
0.0581,2147,2046,0,-80
0.0585,2147,2046,0,-80
0.0589,2147,2046,0,-80
0.0593,2147,2046,0,-80
0.0597,2147,2046,0,-80
0.0601,2163,2047,0,-72
0.0609,2163,2047,0,-72
0.0613,2163,2047,0,-80
0.0616,2163,2047,0,-80
0.0621,2163,2047,0,-80
0.0625,2163,2047,0,-80
0.0629,2163,2047,0,-80
0.0633,2163,2047,0,-80
0.0637,2163,2047,0,-80
0.0641,2163,2047,0,-80
0.0645,2163,2047,0,-88
