"# servo_id=1 center=2044 amp_deg=15.0 cmd_hz=100.0 acc=0 torque_limit=None note='leg 7.4V no load, reg85=254 (volatile), acc=0' hz=3.0 ratio=0.552 lag_ms=173.3 accel_est=40.23798973285572"
t_s,cmd_cnt,pos_cnt,speed_raw,load_duty_permille
0.0001,2044,2044,0,0
0.0010,2044,2044,0,0
0.0014,2044,2044,0,0
0.0018,2044,2044,0,0
0.0022,2044,2044,0,0
0.0025,2044,2044,0,0
0.0029,2044,2044,0,0
0.0033,2044,2044,0,0
0.0037,2044,2044,0,0
0.0041,2044,2044,0,0
0.0045,2044,2044,0,0
0.0048,2044,2044,0,0
0.0052,2044,2044,0,0
0.0056,2044,2044,0,0
0.0060,2044,2044,0,0
0.0065,2044,2044,0,0
0.0068,2044,2044,0,0
0.0072,2044,2044,0,0
0.0076,2044,2044,0,0
0.0080,2044,2044,0,0
0.0085,2044,2044,0,0
0.0089,2044,2044,0,0
0.0093,2044,2044,0,0
0.0096,2044,2044,0,0
0.0100,2076,2044,0,0
0.0108,2076,2044,0,0
0.0113,2076,2044,0,0
0.0117,2076,2044,0,0
0.0120,2076,2044,0,0
0.0125,2076,2044,0,0
0.0128,2076,2044,0,0
0.0132,2076,2044,0,0
0.0136,2076,2044,0,0
0.0140,2076,2044,0,0
0.0144,2076,2044,0,0
0.0148,2076,2044,0,0
0.0152,2076,2044,0,0
0.0156,2076,2044,0,0
0.0159,2076,2044,0,0
0.0163,2076,2044,0,0
0.0167,2076,2044,0,0
0.0172,2076,2044,0,0
0.0175,2076,2044,0,0
0.0179,2076,2044,0,0
0.0183,2076,2044,0,0
0.0187,2076,2044,0,0
0.0191,2076,2044,0,0
0.0195,2076,2044,0,0
0.0199,2076,2044,0,0
0.0203,2108,2044,0,0
0.0210,2108,2044,0,0
0.0214,2108,2044,0,0
0.0218,2108,2044,0,0
0.0222,2108,2044,0,0
0.0226,2108,2044,0,-24
0.0230,2108,2044,0,-24
0.0234,2108,2044,0,-24
0.0238,2108,2044,0,-24
0.0242,2108,2044,0,-24
0.0246,2108,2044,0,-32
0.0250,2108,2044,0,-32
0.0254,2108,2044,0,-32
0.0257,2108,2044,0,-32
0.0261,2108,2044,0,-32
0.0265,2108,2044,0,-32
0.0269,2108,2044,0,-32
0.0272,2108,2044,0,-32
0.0276,2108,2044,0,-40
0.0280,2108,2044,0,-40
0.0284,2108,2044,0,-40
0.0288,2108,2044,0,-52
0.0292,2108,2044,0,-52
0.0296,2108,2044,0,-60
0.0300,2108,2044,0,-60
0.0304,2137,2044,0,-60
0.0311,2137,2044,0,-60
0.0315,2137,2044,0,-68
0.0319,2137,2044,0,-68
0.0323,2137,2044,0,-68
0.0326,2137,2044,0,-68
0.0330,2137,2044,0,-68
0.0334,2137,2044,0,-68
0.0337,2137,2044,0,-76
0.0341,2137,2044,0,-76
0.0344,2137,2044,0,-84
0.0348,2137,2044,0,-84
0.0352,2137,2044,0,-84
0.0356,2137,2044,0,-84
0.0360,2137,2044,0,-84
0.0364,2137,2044,0,-84
0.0368,2137,2044,0,-92
0.0372,2137,2044,0,-92
0.0376,2137,2044,0,-100
0.0379,2137,2044,0,-100
0.0383,2137,2044,0,-100
0.0387,2137,2044,0,-108
0.0391,2137,2044,0,-108
0.0395,2137,2044,0,-108
0.0399,2137,2044,0,-108
0.0402,2161,2044,0,-116
0.0410,2161,2044,0,-116
0.0414,2161,2044,0,-116
0.0418,2161,2044,0,-124
0.0422,2161,2044,0,-124
0.0426,2161,2044,0,-132
0.0430,2161,2044,0,-132
0.0434,2161,2044,0,-140
0.0438,2161,2044,0,-140
0.0442,2161,2044,0,-140
0.0446,2161,2044,0,-140
0.0450,2161,2044,0,-140
0.0453,2161,2044,0,-140
0.0457,2161,2044,0,-148
0.0461,2161,2044,0,-148
0.0465,2161,2044,0,-156
0.0469,2161,2044,0,-156
0.0472,2161,2044,0,-156
0.0476,2161,2044,0,-164
0.0479,2161,2044,0,-164
0.0483,2161,2044,0,-164
0.0487,2161,2044,0,-220
0.0491,2161,2044,0,-220
0.0495,2161,2044,0,-228
0.0499,2161,2044,0,-228
0.0502,2183,2044,0,-236
0.0510,2183,2044,0,-236
0.0514,2183,2044,0,-244
0.0517,2183,2044,0,-244
0.0521,2183,2044,0,-244
0.0525,2183,2044,0,-252
0.0529,2183,2044,0,-252
0.0533,2183,2044,0,-252
0.0537,2183,2044,0,-268
0.0541,2183,2044,0,-268
0.0545,2183,2044,0,-276
0.0549,2183,2044,0,-276
0.0552,2183,2044,0,-276
0.0556,2183,2045,0,-276
0.0559,2183,2045,0,-276
0.0563,2183,2045,0,-276
0.0567,2183,2045,0,-284
0.0570,2183,2045,0,-284
0.0574,2183,2046,0,-284
0.0578,2183,2046,0,-284
0.0582,2183,2046,0,-284
0.0585,2183,2046,0,-300
0.0589,2183,2046,0,-300
0.0593,2183,2047,0,-300
0.0597,2183,2047,0,-300
0.0601,2199,2047,0,-308
0.0608,2199,2047,0,-308
0.0612,2199,2047,0,-308
0.0616,2199,2048,0,-308
0.0620,2199,2048,0,-308
0.0624,2199,2048,0,-324
0.0628,2199,2048,0,-324
0.0632,2199,2048,0,-324
0.0636,2199,2049,0,-324
0.0640,2199,2049,0,-324
0.0644,2199,2049,0,-340
0.0648,2199,2049,0,-340
0.0652,2199,2049,0,-340
0.0656,2199,2050,0,-340
0.0660,2199,2050,0,-340
0.0664,2199,2051,0,-340
0.0668,2199,2051,0,-340
0.0672,2199,2051,0,-340
0.0676,2199,2051,0,-356
0.0679,2199,2051,0,-356
0.0683,2199,2052,0,-364
0.0687,2199,2052,0,-364
0.0691,2199,2052,0,-364
0.0695,2199,2053,0,-372
0.0699,2199,2053,0,-372
0.0703,2210,2053,450,-380
0.0710,2210,2053,450,-380
0.0714,2210,2054,450,-388
0.0718,2210,2054,450,-388
0.0722,2210,2054,450,-388
0.0726,2210,2054,450,-404
0.0730,2210,2054,450,-404
0.0734,2210,2055,450,-404
0.0738,2210,2055,450,-404
0.0742,2210,2055,450,-404
0.0745,2210,2056,450,-412
0.0749,2210,2056,450,-412
0.0753,2210,2057,450,-420
0.0756,2210,2057,450,-420
0.0760,2210,2057,450,-420
0.0764,2210,2058,450,-420
0.0768,2210,2058,450,-420
0.0772,2210,2059,450,-428
0.0776,2210,2059,450,-428
0.0780,2210,2059,450,-428
0.0784,2210,2060,450,-436
0.0788,2210,2060,450,-436
0.0792,2210,2061,450,-444
0.0796,2210,2061,450,-444
0.0800,2210,2061,450,-444
0.0803,2214,2062,450,-444
0.0810,2214,2062,450,-444
0.0814,2214,2063,450,-452
0.0818,2214,2063,450,-452
0.0822,2214,2064,450,-460
0.0826,2214,2064,450,-460
0.0830,2214,2064,450,-460
0.0833,2214,2065,450,-468
0.0837,2214,2065,450,-468
0.0841,2214,2065,450,-468
0.0845,2214,2066,450,-476
0.0849,2214,2066,450,-476
0.0852,2214,2067,450,-484
0.0856,2214,2067,450,-484
0.0859,2214,2067,450,-484
0.0863,2214,2068,450,-492
0.0866,2214,2068,450,-492
0.0870,2214,2068,450,-492
0.0873,2214,2069,450,-500
0.0877,2214,2069,450,-500
0.0881,2214,2069,450,-500
0.0885,2214,2070,450,-512
0.0888,2214,2070,450,-512
0.0892,2214,2071,450,-520
0.0896,2214,2071,450,-520
0.0900,2213,2072,950,-528
0.0907,2213,2072,950,-528
0.0911,2213,2072,950,-528
0.0915,2213,2074,950,-528
0.0919,2213,2074,950,-528
0.0923,2213,2075,950,-536
0.0926,2213,2075,950,-536
0.0930,2213,2075,950,-536
0.0934,2213,2076,950,-544
0.0938,2213,2076,950,-544
0.0942,2213,2077,950,-552
0.0946,2213,2077,950,-552
0.0950,2213,2077,950,-552
0.0953,2213,2079,950,-552
0.0957,2213,2079,950,-552
0.0961,2213,2079,950,-552
0.0965,2213,2080,950,-560
0.0969,2213,2080,950,-560
0.0973,2213,2081,950,-568
0.0976,2213,2081,950,-568
0.0980,2213,2081,950,-568
0.0984,2213,2083,950,-568
0.0988,2213,2083,950,-568
0.0992,2213,2084,950,-576
0.0996,2213,2084,950,-576
0.0999,2213,2084,950,-576
0.1003,2206,2085,950,-576
0.1010,2206,2085,950,-576
0.1014,2206,2087,950,-576
0.1018,2206,2087,950,-576
0.1022,2206,2088,950,-584
0.1026,2206,2088,950,-584
0.1030,2206,2088,950,-584
0.1034,2206,2090,950,-584
0.1038,2206,2090,950,-584
0.1042,2206,2091,950,-592
0.1046,2206,2091,950,-592
0.1049,2206,2091,950,-592
0.1053,2206,2093,950,-584
0.1057,2206,2093,950,-584
0.1061,2206,2094,950,-592
0.1065,2206,2094,950,-592
0.1068,2206,2094,950,-592
0.1072,2206,2096,950,-592
0.1076,2206,2096,950,-592
0.1080,2206,2096,950,-592
0.1084,2206,2097,950,-560
0.1087,2206,2097,950,-560
0.1091,2206,2099,950,-560
0.1095,2206,2099,950,-560
0.1098,2206,2099,950,-560
0.1102,2193,2101,1450,-560
0.1109,2193,2101,1450,-560
0.1112,2193,2103,1450,-552
0.1116,2193,2103,1450,-552
0.1120,2193,2103,1450,-552
0.1124,2193,2104,1450,-560
0.1128,2193,2104,1450,-560
0.1132,2193,2106,1450,-552
0.1136,2193,2106,1450,-552
0.1140,2193,2106,1450,-552
0.1144,2193,2107,1450,-560
0.1147,2193,2107,1450,-560
0.1151,2193,2109,1450,-552
0.1155,2193,2109,1450,-552
0.1159,2193,2109,1450,-552
0.1163,2193,2111,1450,-552
0.1167,2193,2111,1450,-552
0.1170,2193,2112,1450,-552
0.1174,2193,2112,1450,-552
0.1178,2193,2112,1450,-552
0.1182,2193,2114,1450,-544
0.1186,2193,2114,1450,-544
0.1190,2193,2114,1450,-544
0.1193,2193,2115,1450,-552
0.1197,2193,2115,1450,-552
0.1201,2175,2117,1450,-544
0.1209,2175,2117,1450,-544
0.1212,2175,2119,1450,-536
0.1216,2175,2119,1450,-536
0.1220,2175,2119,1450,-536
0.1224,2175,2121,1450,-536
0.1228,2175,2121,1450,-536
0.1232,2175,2123,1450,-528
0.1236,2175,2123,1450,-528
0.1240,2175,2123,1450,-528
0.1244,2175,2125,1450,-520
0.1248,2175,2125,1450,-520
0.1252,2175,2126,1450,-528
0.1256,2175,2126,1450,-528
0.1260,2175,2126,1450,-528
0.1263,2175,2128,1450,-520
0.1267,2175,2128,1450,-520
0.1271,2175,2130,1450,-512
0.1275,2175,2130,1450,-512
0.1278,2175,2130,1450,-512
0.1282,2175,2132,1450,-436
0.1286,2175,2132,1450,-436
0.1290,2175,2133,1450,-436
0.1294,2175,2133,1450,-436
0.1298,2175,2133,1450,-436
0.1302,2152,2135,1700,-428
0.1309,2152,2137,1700,-420
0.1314,2152,2137,1700,-420
0.1317,2152,2137,1700,-420
0.1321,2152,2139,1700,-412
0.1325,2152,2139,1700,-412
0.1329,2152,2139,1700,-412
0.1333,2152,2140,1700,-412
0.1337,2152,2140,1700,-412
0.1341,2152,2142,1700,-404
0.1345,2152,2142,1700,-404
0.1349,2152,2142,1700,-404
0.1353,2152,2144,1700,-396
0.1357,2152,2144,1700,-396
0.1361,2152,2146,1700,-388
0.1365,2152,2146,1700,-388
0.1368,2152,2146,1700,-388
0.1372,2152,2147,1700,-388
0.1376,2152,2147,1700,-388
0.1380,2152,2149,1700,-380
0.1383,2152,2149,1700,-380
0.1387,2152,2149,1700,-380
0.1391,2152,2151,1700,-372
0.1394,2152,2151,1700,-372
0.1398,2152,2151,1700,-372
0.1402,2126,2153,1700,-364
0.1409,2126,2154,1700,-364
0.1413,2126,2154,1700,-364
0.1417,2126,2154,1700,-364
0.1421,2126,2156,1700,-348
0.1425,2126,2156,1700,-348
0.1428,2126,2156,1700,-348
0.1432,2126,2158,1700,-340
0.1436,2126,2158,1700,-340
0.1440,2126,2160,1700,-332
0.1443,2126,2160,1700,-332
0.1447,2126,2160,1700,-332
0.1451,2126,2161,1700,-332
0.1455,2126,2161,1700,-332
0.1458,2126,2161,1700,-332
0.1462,2126,2162,1700,-324
0.1466,2126,2162,1700,-324
0.1469,2126,2164,1700,-316
0.1473,2126,2164,1700,-316
0.1477,2126,2164,1700,-316
0.1481,2126,2165,1700,-284
0.1485,2126,2165,1700,-284
0.1488,2126,2165,1700,-284
0.1492,2126,2167,1700,-268
0.1495,2126,2167,1700,-268
0.1499,2126,2169,1700,-260
0.1503,2096,2169,1700,-260
0.1510,2096,2170,1700,-252
0.1513,2096,2170,1700,-252
0.1517,2096,2170,1700,-252
0.1521,2096,2172,1700,-244
0.1525,2096,2172,1700,-244
0.1528,2096,2172,1700,-244
0.1532,2096,2173,1700,-236
0.1536,2096,2173,1700,-236
0.1540,2096,2175,1700,-228
0.1543,2096,2175,1700,-228
0.1547,2096,2175,1700,-228
0.1551,2096,2176,1700,-220
0.1555,2096,2176,1700,-220
0.1558,2096,2176,1700,-220
0.1562,2096,2177,1700,-220
0.1566,2096,2177,1700,-220
0.1569,2096,2179,1700,-204
0.1573,2096,2179,1700,-204
0.1577,2096,2179,1700,-204
0.1581,2096,2181,1700,-188
0.1584,2096,2181,1700,-188
0.1588,2096,2181,1700,-188
0.1592,2096,2182,1700,-188
0.1595,2096,2182,1700,-188
0.1599,2096,2183,1700,-180
0.1602,2065,2183,1700,-180
0.1609,2065,2185,1700,-164
0.1613,2065,2185,1700,-164
0.1616,2065,2185,1700,-164
0.1620,2065,2186,1700,-164
0.1623,2065,2186,1700,-164
0.1627,2065,2186,1700,-164
0.1631,2065,2187,1700,-156
0.1634,2065,2187,1700,-156
0.1638,2065,2188,1700,-148
0.1642,2065,2188,1700,-148
0.1646,2065,2188,1700,-148
0.1650,2065,2189,1700,-140
0.1653,2065,2189,1700,-140
0.1657,2065,2189,1700,-140
0.1661,2065,2191,1700,-132
0.1665,2065,2191,1700,-132
0.1669,2065,2192,1700,-124
0.1673,2065,2192,1700,-124
0.1676,2065,2192,1700,-124
0.1680,2065,2193,1700,-92
0.1684,2065,2193,1700,-92
0.1688,2065,2194,1700,-84
0.1692,2065,2194,1700,-84
0.1696,2065,2194,1700,-84
0.1700,2065,2195,1300,-76
0.1703,2032,2195,1300,-76
0.1710,2032,2196,1300,-68
0.1714,2032,2196,1300,-68
0.1718,2032,2197,1300,-60
0.1722,2032,2197,1300,-60
0.1726,2032,2197,1300,-60
0.1729,2032,2199,1300,-44
