"# servo_id=1 center=2042 amp_deg=15.0 cmd_hz=100.0 acc=100 torque_limit=None note='leg 7.4V, reg85=254 volatile, acc=100' hz=2.0 ratio=0.994 lag_ms=75.2 accel_est=None"
t_s,cmd_cnt,pos_cnt,speed_raw,load_duty_permille
0.0002,2042,2042,0,0
0.0010,2042,2042,0,0
0.0015,2042,2042,0,0
0.0018,2042,2042,0,0
0.0022,2042,2042,0,0
0.0026,2042,2042,0,0
0.0030,2042,2042,0,0
0.0034,2042,2042,0,0
0.0038,2042,2042,0,0
0.0042,2042,2042,0,0
0.0046,2042,2042,0,0
0.0049,2042,2042,0,0
0.0053,2042,2042,0,0
0.0057,2042,2042,0,0
0.0061,2042,2042,0,0
0.0066,2042,2042,0,0
0.0070,2042,2042,0,0
0.0073,2042,2042,0,0
0.0077,2042,2042,0,0
0.0081,2042,2042,0,0
0.0084,2042,2042,0,0
0.0088,2042,2042,0,0
0.0092,2042,2042,0,0
0.0095,2042,2042,0,0
0.0099,2042,2042,0,0
0.0103,2064,2042,0,0
0.0110,2064,2042,0,0
0.0114,2064,2042,0,0
0.0118,2064,2042,0,0
0.0121,2064,2042,0,0
0.0125,2064,2042,0,0
0.0129,2064,2042,0,0
0.0132,2064,2042,0,0
0.0136,2064,2042,0,0
0.0139,2064,2042,0,0
0.0143,2064,2042,0,0
0.0147,2064,2042,0,0
0.0150,2064,2042,0,0
0.0154,2064,2042,0,0
0.0158,2064,2042,0,0
0.0161,2064,2042,0,0
0.0165,2064,2042,0,0
0.0169,2064,2042,0,0
0.0172,2064,2042,0,0
0.0176,2064,2042,0,0
0.0180,2064,2042,0,0
0.0184,2064,2042,0,0
0.0188,2064,2042,0,0
0.0192,2064,2042,0,0
0.0195,2064,2042,0,0
0.0199,2064,2042,0,0
0.0203,2085,2042,0,0
0.0210,2085,2042,0,0
0.0213,2085,2042,0,0
0.0217,2085,2042,0,0
0.0221,2085,2042,0,-24
0.0225,2085,2042,0,-24
0.0229,2085,2042,0,-24
0.0233,2085,2042,0,-24
0.0237,2085,2042,0,-24
0.0240,2085,2042,0,-24
0.0244,2085,2042,0,-32
0.0248,2085,2042,0,-32
0.0251,2085,2042,0,-32
0.0255,2085,2042,0,-32
0.0259,2085,2042,0,-32
0.0262,2085,2042,0,-32
0.0266,2085,2042,0,-32
0.0270,2085,2042,0,-32
0.0273,2085,2042,0,-40
0.0277,2085,2042,0,-40
0.0281,2085,2042,0,-40
0.0284,2085,2042,0,-40
0.0288,2085,2042,0,-40
0.0292,2085,2042,0,-48
0.0295,2085,2042,0,-48
0.0299,2085,2042,0,-48
0.0303,2105,2042,0,-48
0.0310,2105,2042,0,-48
0.0313,2105,2042,0,-56
0.0317,2105,2042,0,-56
0.0321,2105,2042,0,-56
0.0325,2105,2042,0,-56
0.0329,2105,2042,0,-56
0.0333,2105,2042,0,-64
0.0336,2105,2042,0,-64
0.0340,2105,2042,0,-64
0.0344,2105,2042,0,-72
0.0347,2105,2042,0,-72
0.0351,2105,2042,0,-72
0.0355,2105,2042,0,-72
0.0359,2105,2042,0,-72
0.0363,2105,2042,0,-80
0.0366,2105,2042,0,-80
0.0370,2105,2042,0,-88
0.0374,2105,2042,0,-88
0.0377,2105,2042,0,-88
0.0381,2105,2042,0,-96
0.0385,2105,2042,0,-96
0.0389,2105,2042,0,-96
0.0392,2105,2042,0,-96
0.0396,2105,2042,0,-96
0.0399,2105,2042,0,-96
0.0403,2125,2042,0,-104
0.0410,2125,2042,0,-160
0.0413,2125,2042,0,-160
0.0417,2125,2042,0,-160
0.0421,2125,2042,0,-168
0.0424,2125,2042,0,-168
0.0428,2125,2042,0,-168
0.0432,2125,2042,0,-176
0.0435,2125,2042,0,-176
0.0439,2125,2042,0,-176
0.0442,2125,2042,0,-176
0.0446,2125,2042,0,-176
0.0450,2125,2042,0,-184
0.0453,2125,2042,0,-184
0.0457,2125,2042,0,-184
0.0461,2125,2042,0,-192
0.0464,2125,2042,0,-192
0.0468,2125,2042,0,-192
0.0471,2125,2043,0,-192
0.0475,2125,2043,0,-192
0.0479,2125,2043,0,-192
0.0482,2125,2043,0,-200
0.0486,2125,2043,0,-200
0.0490,2125,2043,0,-208
0.0493,2125,2043,0,-208
0.0497,2125,2043,0,-208
0.0500,2142,2043,0,-216
0.0507,2142,2043,0,-216
0.0510,2142,2043,0,-224
0.0514,2142,2043,0,-224
0.0518,2142,2043,0,-224
0.0521,2142,2044,0,-224
0.0525,2142,2044,0,-224
0.0529,2142,2044,0,-224
0.0532,2142,2044,0,-240
0.0536,2142,2044,0,-240
0.0539,2142,2044,0,-248
0.0543,2142,2044,0,-248
0.0547,2142,2044,0,-248
0.0550,2142,2044,0,-256
0.0554,2142,2044,0,-256
0.0557,2142,2044,0,-256
0.0561,2142,2045,0,-256
0.0565,2142,2045,0,-256
0.0569,2142,2045,150,-264
0.0573,2142,2045,150,-264
0.0577,2142,2045,150,-264
0.0581,2142,2046,150,-272
0.0584,2142,2046,150,-272
0.0588,2142,2046,150,-272
0.0592,2142,2046,150,-280
0.0595,2142,2046,150,-280
0.0599,2142,2047,150,-280
0.0603,2159,2047,150,-280
0.0610,2159,2047,150,-304
0.0614,2159,2047,150,-304
0.0618,2159,2047,150,-304
0.0622,2159,2048,150,-312
0.0626,2159,2048,150,-312
0.0630,2159,2048,150,-320
0.0633,2159,2048,150,-320
0.0637,2159,2048,150,-320
0.0641,2159,2048,150,-336
0.0645,2159,2048,150,-336
0.0649,2159,2049,150,-336
0.0653,2159,2049,150,-336
0.0657,2159,2049,150,-336
0.0661,2159,2050,150,-336
0.0666,2159,2050,150,-336
0.0670,2159,2050,150,-352
0.0674,2159,2050,150,-352
0.0678,2159,2050,150,-352
0.0682,2159,2051,150,-352
0.0686,2159,2051,150,-352
0.0690,2159,2052,150,-360
0.0694,2159,2052,150,-360
0.0698,2159,2052,150,-360
0.0702,2174,2052,150,-368
0.0709,2174,2053,150,-376
0.0713,2174,2053,150,-376
0.0717,2174,2053,150,-376
0.0721,2174,2054,150,-384
0.0726,2174,2054,150,-384
0.0730,2174,2055,150,-384
0.0734,2174,2055,150,-384
0.0738,2174,2055,150,-400
0.0742,2174,2055,150,-400
0.0746,2174,2055,150,-400
0.0750,2174,2056,150,-408
0.0755,2174,2056,150,-408
0.0759,2174,2057,150,-408
0.0763,2174,2057,150,-408
0.0767,2174,2057,150,-408
0.0771,2174,2058,650,-416
0.0775,2174,2058,650,-416
0.0778,2174,2059,650,-424
0.0782,2174,2059,650,-424
0.0786,2174,2059,650,-424
0.0790,2174,2060,650,-432
0.0794,2174,2060,650,-432
0.0798,2174,2061,650,-432
0.0802,2186,2061,650,-432
0.0809,2186,2062,650,-444
0.0813,2186,2062,650,-444
0.0817,2186,2062,650,-444
0.0821,2186,2063,650,-452
0.0825,2186,2063,650,-452
0.0829,2186,2063,650,-468
0.0833,2186,2063,650,-468
0.0837,2186,2063,650,-468
0.0840,2186,2064,650,-476
0.0844,2186,2064,650,-476
0.0848,2186,2066,650,-476
0.0852,2186,2066,650,-476
0.0855,2186,2066,650,-476
0.0859,2186,2067,650,-484
0.0863,2186,2067,650,-484
0.0867,2186,2068,650,-492
0.0871,2186,2068,650,-492
0.0875,2186,2068,650,-492
0.0879,2186,2069,650,-492
0.0883,2186,2069,650,-492
0.0887,2186,2069,650,-492
0.0891,2186,2070,650,-500
0.0895,2186,2070,650,-500
0.0899,2186,2071,650,-508
0.0903,2197,2071,650,-508
0.0910,2197,2072,650,-516
0.0914,2197,2072,650,-516
0.0918,2197,2073,650,-524
0.0922,2197,2073,650,-524
0.0926,2197,2073,650,-524
0.0930,2197,2075,650,-516
0.0933,2197,2075,650,-516
0.0937,2197,2076,650,-524
0.0941,2197,2076,650,-524
0.0945,2197,2076,650,-524
0.0949,2197,2077,650,-532
0.0953,2197,2077,650,-532
0.0957,2197,2078,650,-540
0.0961,2197,2078,650,-540
0.0965,2197,2078,650,-540
0.0969,2197,2080,1100,-540
0.0972,2197,2080,1100,-540
0.0976,2197,2080,1100,-540
0.0980,2197,2081,1100,-540
0.0984,2197,2081,1100,-540
0.0987,2197,2082,1100,-548
0.0991,2197,2082,1100,-548
0.0994,2197,2082,1100,-548
0.0998,2197,2084,1100,-548
0.1001,2204,2084,1100,-548
0.1009,2204,2085,1100,-544
0.1013,2204,2085,1100,-544
0.1016,2204,2085,1100,-544
0.1020,2204,2087,1100,-536
0.1024,2204,2087,1100,-536
0.1028,2204,2088,1100,-544
0.1032,2204,2088,1100,-544
0.1035,2204,2088,1100,-544
0.1039,2204,2089,1100,-552
0.1043,2204,2089,1100,-552
0.1046,2204,2089,1100,-552
0.1050,2204,2091,1100,-544
0.1054,2204,2091,1100,-544
0.1058,2204,2092,1100,-552
0.1061,2204,2092,1100,-552
0.1065,2204,2092,1100,-552
