"# servo_id=1 center=2044 amp_deg=15.0 cmd_hz=100.0 acc=254 torque_limit=None note='leg 7.4V no load, reg85=254 (volatile), acc=254' hz=1.4 ratio=0.972 lag_ms=59.4 accel_est=None"
t_s,cmd_cnt,pos_cnt,speed_raw,load_duty_permille
0.0000,2044,2044,0,0
0.0007,2044,2044,0,0
0.0011,2044,2044,0,0
0.0015,2044,2044,0,0
0.0018,2044,2044,0,0
0.0022,2044,2044,0,0
0.0025,2044,2044,0,0
0.0029,2044,2044,0,0
0.0033,2044,2044,0,0
0.0037,2044,2044,0,0
0.0040,2044,2044,0,0
0.0044,2044,2044,0,0
0.0047,2044,2044,0,0
0.0051,2044,2044,0,0
0.0054,2044,2044,0,0
0.0057,2044,2044,0,0
0.0061,2044,2044,0,0
0.0064,2044,2044,0,0
0.0068,2044,2044,0,0
0.0072,2044,2044,0,0
0.0075,2044,2044,0,0
0.0079,2044,2044,0,0
0.0083,2044,2044,0,0
0.0087,2044,2044,0,0
0.0090,2044,2044,0,0
0.0094,2044,2044,0,0
0.0098,2044,2044,0,0
0.0101,2059,2044,0,0
0.0108,2059,2044,0,0
0.0112,2059,2044,0,0
0.0117,2059,2044,0,0
0.0121,2059,2044,0,0
0.0124,2059,2044,0,0
0.0128,2059,2044,0,0
0.0132,2059,2044,0,0
0.0135,2059,2044,0,0
0.0139,2059,2044,0,0
0.0143,2059,2044,0,0
0.0147,2059,2044,0,0
0.0150,2059,2044,0,0
0.0154,2059,2044,0,0
0.0157,2059,2044,0,0
0.0161,2059,2044,0,0
0.0165,2059,2044,0,0
0.0168,2059,2044,0,0
0.0172,2059,2044,0,0
0.0175,2059,2044,0,0
0.0179,2059,2044,0,0
0.0183,2059,2044,0,0
0.0187,2059,2044,0,0
0.0190,2059,2044,0,0
0.0194,2059,2044,0,0
0.0197,2059,2044,0,0
0.0201,2074,2044,0,0
0.0207,2074,2044,0,0
0.0211,2074,2044,0,0
0.0214,2074,2044,0,0
0.0217,2074,2044,0,0
0.0221,2074,2044,0,-24
0.0224,2074,2044,0,-24
0.0228,2074,2044,0,-24
0.0232,2074,2044,0,-24
0.0235,2074,2044,0,-24
0.0239,2074,2044,0,-32
0.0243,2074,2044,0,-32
0.0247,2074,2044,0,-32
0.0250,2074,2044,0,-32
0.0253,2074,2044,0,-32
0.0257,2074,2044,0,-32
0.0261,2074,2044,0,-32
0.0264,2074,2044,0,-32
0.0268,2074,2044,0,-32
0.0271,2074,2044,0,-40
0.0275,2074,2044,0,-40
0.0279,2074,2044,0,-40
0.0284,2074,2044,0,-40
0.0288,2074,2044,0,-40
0.0292,2074,2044,0,-48
0.0297,2074,2044,0,-48
0.0300,2089,2044,0,-48
0.0307,2089,2044,0,-48
0.0310,2089,2044,0,-56
0.0314,2089,2044,0,-56
0.0318,2089,2044,0,-56
0.0321,2089,2044,0,-56
0.0324,2089,2044,0,-56
0.0328,2089,2044,0,-56
0.0332,2089,2044,0,-64
0.0335,2089,2044,0,-64
0.0339,2089,2044,0,-64
0.0342,2089,2044,0,-100
0.0346,2089,2044,0,-100
0.0349,2089,2044,0,-100
0.0353,2089,2044,0,-100
0.0357,2089,2044,0,-100
0.0360,2089,2044,0,-108
0.0364,2089,2044,0,-108
0.0367,2089,2044,0,-108
0.0371,2089,2044,0,-116
0.0374,2089,2044,0,-116
0.0378,2089,2044,0,-116
0.0382,2089,2044,0,-124
0.0385,2089,2044,0,-124
0.0389,2089,2044,0,-124
0.0393,2089,2044,0,-124
0.0397,2089,2044,0,-124
0.0401,2103,2044,0,-132
0.0409,2103,2044,0,-140
0.0413,2103,2044,0,-140
0.0417,2103,2044,0,-140
0.0421,2103,2044,0,-148
0.0424,2103,2044,0,-148
0.0428,2103,2044,0,-148
0.0431,2103,2044,0,-156
0.0435,2103,2044,0,-156
0.0439,2103,2044,0,-156
0.0443,2103,2044,0,-156
0.0447,2103,2044,0,-156
0.0451,2103,2044,0,-164
0.0454,2103,2044,0,-164
0.0458,2103,2044,0,-172
0.0462,2103,2044,0,-172
0.0465,2103,2044,0,-172
0.0469,2103,2044,0,-180
0.0473,2103,2044,0,-180
0.0477,2103,2044,0,-180
0.0480,2103,2044,0,-188
0.0484,2103,2044,0,-188
0.0488,2103,2044,0,-196
0.0492,2103,2044,0,-196
0.0496,2103,2044,0,-196
0.0499,2103,2044,0,-204
0.0503,2117,2044,0,-204
0.0510,2117,2044,0,-212
0.0515,2117,2044,0,-212
0.0518,2117,2044,0,-220
0.0522,2117,2044,0,-220
0.0527,2117,2044,0,-220
0.0531,2117,2044,0,-236
0.0534,2117,2044,0,-236
0.0538,2117,2045,0,-276
0.0542,2117,2045,0,-276
0.0547,2117,2045,0,-276
0.0551,2117,2045,0,-284
0.0554,2117,2045,0,-284
0.0558,2117,2045,50,-292
0.0561,2117,2045,50,-292
0.0565,2117,2045,50,-292
0.0569,2117,2046,50,-292
0.0573,2117,2046,50,-292
0.0577,2117,2046,50,-292
0.0581,2117,2046,50,-308
0.0584,2117,2046,50,-308
0.0588,2117,2047,50,-308
0.0591,2117,2047,50,-308
0.0595,2117,2047,50,-308
0.0598,2117,2047,50,-316
0.0602,2130,2047,50,-316
0.0609,2130,2048,50,-316
0.0614,2130,2048,50,-316
0.0618,2130,2048,50,-332
0.0621,2130,2048,50,-332
0.0625,2130,2048,50,-332
0.0629,2130,2048,50,-340
0.0632,2130,2048,50,-340
0.0637,2130,2048,50,-340
0.0640,2130,2049,50,-348
0.0644,2130,2049,50,-348
0.0648,2130,2050,50,-348
0.0651,2130,2050,50,-348
0.0655,2130,2050,50,-348
0.0659,2130,2050,50,-356
0.0663,2130,2050,50,-356
0.0667,2130,2050,50,-356
0.0670,2130,2051,50,-364
0.0674,2130,2051,50,-364
0.0678,2130,2052,50,-364
0.0681,2130,2052,50,-364
0.0684,2130,2052,50,-364
0.0688,2130,2053,50,-372
0.0692,2130,2053,50,-372
0.0696,2130,2053,50,-372
0.0699,2130,2053,50,-380
0.0703,2143,2053,50,-380
0.0710,2143,2054,50,-388
0.0715,2143,2054,50,-388
0.0719,2143,2055,50,-388
0.0723,2143,2055,50,-388
0.0727,2143,2055,50,-404
0.0731,2143,2055,50,-404
0.0735,2143,2055,50,-404
0.0739,2143,2056,50,-400
0.0743,2143,2056,50,-400
0.0747,2143,2057,50,-408
0.0750,2143,2057,50,-408
0.0754,2143,2057,50,-408
0.0757,2143,2058,650,-408
0.0761,2143,2058,650,-408
0.0764,2143,2058,650,-408
0.0768,2143,2059,650,-416
0.0772,2143,2059,650,-416
0.0776,2143,2059,650,-416
0.0780,2143,2060,650,-416
0.0783,2143,2060,650,-416
0.0787,2143,2061,650,-424
0.0791,2143,2061,650,-424
0.0795,2143,2061,650,-424
0.0799,2143,2062,650,-424
0.0802,2155,2062,650,-424
0.0809,2155,2063,650,-424
0.0813,2155,2063,650,-424
0.0817,2155,2064,650,-432
0.0821,2155,2064,650,-432
0.0824,2155,2064,650,-432
0.0829,2155,2065,650,-432
0.0832,2155,2065,650,-432
0.0837,2155,2066,650,-440
0.0841,2155,2066,650,-440
0.0845,2155,2066,650,-440
0.0849,2155,2067,650,-440
0.0852,2155,2067,650,-440
0.0857,2155,2068,650,-440
0.0860,2155,2068,650,-440
0.0864,2155,2068,650,-440
0.0868,2155,2069,650,-448
0.0872,2155,2069,650,-448
0.0875,2155,2069,650,-448
0.0879,2155,2070,650,-448
0.0883,2155,2070,650,-448
0.0887,2155,2071,650,-456
0.0891,2155,2071,650,-456
0.0894,2155,2071,650,-456
0.0898,2155,2072,650,-456
0.0902,2166,2072,650,-456
0.0909,2166,2073,650,-456
0.0913,2166,2073,650,-456
0.0917,2166,2075,650,-456
0.0921,2166,2075,650,-456
0.0924,2166,2075,650,-456
0.0928,2166,2076,650,-456
0.0932,2166,2076,650,-456
0.0937,2166,2077,650,-420
0.0940,2166,2077,650,-420
0.0945,2166,2077,650,-420
0.0949,2166,2078,650,-428
0.0952,2166,2078,650,-428
0.0957,2166,2079,1050,-428
0.0961,2166,2079,1050,-428
0.0965,2166,2079,1050,-428
0.0969,2166,2081,1050,-428
0.0973,2166,2081,1050,-428
0.0977,2166,2082,1050,-428
0.0981,2166,2082,1050,-428
0.0984,2166,2082,1050,-428
0.0988,2166,2083,1050,-428
0.0992,2166,2083,1050,-428
0.0996,2166,2085,1050,-428
0.1000,2166,2085,1050,-428
0.1004,2176,2086,1050,-428
0.1010,2176,2086,1050,-428
0.1014,2176,2086,1050,-428
0.1018,2176,2087,1050,-428
0.1022,2176,2087,1050,-428
0.1025,2176,2088,1050,-428
0.1029,2176,2088,1050,-428
0.1033,2176,2088,1050,-428
0.1037,2176,2090,1050,-428
0.1041,2176,2090,1050,-428
0.1045,2176,2090,1050,-428
0.1048,2176,2091,1050,-428
0.1052,2176,2091,1050,-428
0.1056,2176,2092,1050,-436
0.1059,2176,2092,1050,-436
0.1063,2176,2092,1050,-436
0.1067,2176,2093,1050,-436
0.1071,2176,2093,1050,-436
0.1075,2176,2093,1050,-436
0.1079,2176,2095,1050,-428
0.1083,2176,2095,1050,-428
0.1087,2176,2096,1050,-428
0.1091,2176,2096,1050,-428
0.1094,2176,2096,1050,-428
0.1098,2176,2098,1050,-428
0.1102,2185,2099,1050,-428
0.1109,2185,2099,1050,-428
0.1112,2185,2099,1050,-428
0.1116,2185,2100,1050,-428
0.1120,2185,2100,1050,-428
0.1123,2185,2100,1050,-428
0.1127,2185,2102,1050,-420
0.1130,2185,2102,1050,-420
0.1134,2185,2102,1050,-420
0.1138,2185,2103,1050,-404
0.1142,2185,2103,1050,-404
0.1145,2185,2105,1050,-396
0.1149,2185,2105,1050,-396
0.1153,2185,2105,1050,-396
0.1157,2185,2106,1350,-396
0.1160,2185,2106,1350,-396
0.1164,2185,2106,1350,-396
0.1168,2185,2107,1350,-404
0.1172,2185,2107,1350,-404
0.1175,2185,2109,1350,-396
0.1179,2185,2109,1350,-396
0.1183,2185,2109,1350,-396
0.1187,2185,2110,1350,-396
0.1190,2185,2110,1350,-396
0.1194,2185,2110,1350,-396
0.1198,2185,2111,1350,-396
0.1201,2193,2113,1350,-388
0.1208,2193,2113,1350,-388
0.1212,2193,2113,1350,-388
0.1216,2193,2114,1350,-396
0.1219,2193,2114,1350,-396
0.1223,2193,2114,1350,-396
0.1227,2193,2116,1350,-388
0.1230,2193,2116,1350,-388
0.1234,2193,2116,1350,-388
0.1237,2193,2117,1350,-388
0.1241,2193,2117,1350,-388
0.1244,2193,2118,1350,-388
0.1248,2193,2118,1350,-388
0.1252,2193,2118,1350,-388
0.1255,2193,2120,1350,-380
0.1259,2193,2120,1350,-380
0.1262,2193,2120,1350,-380
0.1267,2193,2121,1350,-388
0.1271,2193,2121,1350,-388
0.1275,2193,2123,1350,-380
0.1279,2193,2123,1350,-380
0.1283,2193,2123,1350,-380
0.1287,2193,2124,1350,-380
0.1290,2193,2124,1350,-380
0.1294,2193,2124,1350,-380
0.1297,2193,2125,1350,-380
0.1300,2199,2125,1350,-380
0.1308,2199,2127,1350,-372
0.1311,2199,2127,1350,-372
0.1315,2199,2128,1350,-372
0.1318,2199,2128,1350,-372
0.1321,2199,2128,1350,-372
0.1325,2199,2130,1350,-364
0.1329,2199,2130,1350,-364
0.1332,2199,2130,1350,-364
0.1336,2199,2131,1350,-340
0.1339,2199,2131,1350,-340
0.1343,2199,2131,1350,-340
0.1347,2199,2132,1350,-340
0.1350,2199,2132,1350,-340
0.1354,2199,2134,1400,-340
0.1358,2199,2134,1400,-340
0.1361,2199,2134,1400,-340
0.1365,2199,2135,1400,-340
0.1368,2199,2135,1400,-340
0.1372,2199,2135,1400,-340
0.1377,2199,2137,1400,-332
0.1380,2199,2137,1400,-332
0.1384,2199,2138,1400,-332
0.1389,2199,2138,1400,-332
0.1393,2199,2138,1400,-332
0.1397,2199,2139,1400,-332
0.1400,2205,2140,1400,-332
0.1407,2205,2140,1400,-332
0.1411,2205,2140,1400,-332
0.1414,2205,2142,1400,-324
0.1418,2205,2142,1400,-324
0.1422,2205,2142,1400,-324
0.1425,2205,2143,1400,-324
0.1429,2205,2143,1400,-324
0.1433,2205,2143,1400,-324
0.1437,2205,2145,1400,-316
0.1441,2205,2145,1400,-316
0.1444,2205,2146,1400,-316
0.1448,2205,2146,1400,-316
0.1451,2205,2146,1400,-316
0.1455,2205,2148,1400,-308
0.1458,2205,2148,1400,-308
0.1462,2205,2148,1400,-308
0.1465,2205,2149,1400,-308
0.1469,2205,2149,1400,-308
0.1472,2205,2149,1400,-308
0.1476,2205,2150,1400,-308
0.1479,2205,2150,1400,-308
0.1483,2205,2150,1400,-308
