"# servo_id=1 center=2044 amp_deg=15.0 cmd_hz=100.0 acc=254 torque_limit=None note='leg 7.4V no load, reg85=254 (volatile), acc=254' hz=2.0 ratio=0.994 lag_ms=75.2 accel_est=None"
t_s,cmd_cnt,pos_cnt,speed_raw,load_duty_permille
0.0002,2044,2044,0,0
0.0010,2044,2044,0,0
0.0013,2044,2044,0,0
0.0017,2044,2044,0,0
0.0021,2044,2044,0,0
0.0025,2044,2044,0,0
0.0028,2044,2044,0,0
0.0032,2044,2044,0,0
0.0036,2044,2044,0,0
0.0040,2044,2044,0,0
0.0043,2044,2044,0,0
0.0047,2044,2044,0,0
0.0051,2044,2044,0,0
0.0054,2044,2044,0,0
0.0058,2044,2044,0,0
0.0062,2044,2044,0,0
0.0065,2044,2044,0,0
0.0069,2044,2044,0,0
0.0073,2044,2044,0,0
0.0076,2044,2044,0,0
0.0080,2044,2044,0,0
0.0083,2044,2044,0,0
0.0087,2044,2044,0,0
0.0091,2044,2044,0,0
0.0094,2044,2044,0,0
0.0098,2044,2044,0,0
0.0101,2066,2044,0,0
0.0108,2066,2044,0,0
0.0112,2066,2044,0,0
0.0115,2066,2044,0,0
0.0119,2066,2044,0,0
0.0123,2066,2044,0,0
0.0126,2066,2044,0,0
0.0130,2066,2044,0,0
0.0134,2066,2044,0,0
0.0137,2066,2044,0,0
0.0141,2066,2044,0,0
0.0144,2066,2044,0,0
0.0148,2066,2044,0,0
0.0152,2066,2044,0,0
0.0155,2066,2044,0,0
0.0159,2066,2044,0,0
0.0163,2066,2044,0,0
0.0166,2066,2044,0,0
0.0170,2066,2044,0,0
0.0174,2066,2044,0,0
0.0177,2066,2044,0,0
0.0181,2066,2044,0,0
0.0184,2066,2044,0,0
0.0188,2066,2044,0,0
0.0191,2066,2044,0,0
0.0195,2066,2044,0,0
0.0199,2066,2044,0,0
0.0203,2087,2044,0,0
0.0210,2087,2044,0,0
0.0213,2087,2044,0,0
0.0217,2087,2044,0,0
0.0220,2087,2044,0,-24
0.0224,2087,2044,0,-24
0.0227,2087,2044,0,-24
0.0231,2087,2044,0,-28
0.0235,2087,2044,0,-28
0.0238,2087,2044,0,-36
0.0242,2087,2044,0,-36
0.0245,2087,2044,0,-36
0.0249,2087,2044,0,-36
0.0253,2087,2044,0,-36
0.0256,2087,2044,0,-36
0.0260,2087,2044,0,-36
0.0263,2087,2044,0,-36
0.0267,2087,2044,0,-36
0.0271,2087,2044,0,-44
0.0274,2087,2044,0,-44
0.0278,2087,2044,0,-44
0.0282,2087,2044,0,-44
0.0286,2087,2044,0,-44
0.0290,2087,2044,0,-52
0.0293,2087,2044,0,-52
0.0297,2087,2044,0,-52
0.0301,2107,2044,0,-52
0.0308,2107,2044,0,-60
0.0311,2107,2044,0,-60
0.0315,2107,2044,0,-60
0.0319,2107,2044,0,-60
0.0322,2107,2044,0,-60
0.0326,2107,2044,0,-60
0.0330,2107,2044,0,-68
