"# servo_id=1 center=2043 amp_deg=15.0 cmd_hz=100.0 acc=50 torque_limit=None note='leg 7.4V, reg85=254 volatile, acc=50' hz=2.0 ratio=0.266 lag_ms=261.4 accel_est=8.642110823977744"
t_s,cmd_cnt,pos_cnt,speed_raw,load_duty_permille
0.0002,2043,2042,0,0
0.0010,2043,2042,0,0
0.0014,2043,2042,0,0
0.0018,2043,2042,0,0
0.0021,2043,2042,0,0
0.0025,2043,2042,0,0
0.0029,2043,2042,0,0
0.0033,2043,2042,0,0
0.0037,2043,2042,0,0
0.0041,2043,2042,0,0
0.0044,2043,2042,0,0
0.0048,2043,2042,0,0
0.0052,2043,2042,0,0
0.0055,2043,2042,0,0
0.0059,2043,2042,0,0
0.0062,2043,2042,0,0
0.0067,2043,2042,0,0
0.0070,2043,2042,0,0
0.0074,2043,2042,0,0
0.0078,2043,2042,0,0
0.0082,2043,2042,0,0
0.0088,2043,2042,0,0
0.0091,2043,2042,0,0
0.0095,2043,2042,0,0
0.0099,2043,2042,0,0
0.0102,2065,2042,0,0
0.0111,2065,2042,0,0
0.0114,2065,2042,0,0
0.0118,2065,2042,0,0
0.0122,2065,2042,0,0
0.0125,2065,2042,0,0
0.0129,2065,2042,0,0
0.0133,2065,2042,0,0
0.0137,2065,2042,0,0
0.0140,2065,2042,0,0
0.0143,2065,2042,0,0
0.0147,2065,2042,0,0
0.0151,2065,2042,0,0
0.0155,2065,2042,0,0
0.0158,2065,2042,0,0
0.0162,2065,2042,0,0
0.0166,2065,2042,0,0
0.0170,2065,2042,0,0
0.0174,2065,2042,0,0
0.0177,2065,2042,0,0
0.0181,2065,2042,0,0
0.0185,2065,2042,0,0
0.0188,2065,2042,0,0
0.0192,2065,2042,0,0
0.0198,2065,2042,0,0
0.0202,2086,2042,0,0
0.0209,2086,2042,0,0
0.0213,2086,2042,0,0
0.0217,2086,2042,0,0
0.0220,2086,2042,0,0
0.0224,2086,2042,0,0
0.0227,2086,2042,0,0
0.0231,2086,2042,0,-24
0.0234,2086,2042,0,-24
0.0238,2086,2042,0,-24
0.0242,2086,2042,0,-24
0.0245,2086,2042,0,-24
0.0249,2086,2042,0,-24
0.0253,2086,2042,0,-24
0.0257,2086,2042,0,-24
0.0260,2086,2042,0,-24
0.0264,2086,2042,0,-24
0.0268,2086,2042,0,-24
0.0271,2086,2042,0,-24
0.0275,2086,2042,0,-24
0.0279,2086,2042,0,-24
0.0283,2086,2042,0,-24
0.0287,2086,2042,0,-24
0.0291,2086,2042,0,-24
0.0294,2086,2042,0,-24
0.0298,2086,2042,0,-24
0.0302,2106,2042,0,-24
0.0308,2106,2042,0,-24
0.0312,2106,2042,0,-32
0.0316,2106,2042,0,-32
0.0319,2106,2042,0,-32
0.0323,2106,2042,0,-32
0.0327,2106,2042,0,-32
0.0330,2106,2042,0,-32
0.0334,2106,2042,0,-32
0.0337,2106,2042,0,-32
0.0341,2106,2042,0,-32
0.0345,2106,2042,0,-32
0.0348,2106,2042,0,-32
0.0352,2106,2042,0,-32
0.0355,2106,2042,0,-32
0.0359,2106,2042,0,-32
0.0363,2106,2042,0,-32
0.0367,2106,2042,0,-32
0.0370,2106,2042,0,-52
