"# servo_id=1 center=2043 amp_deg=15.0 cmd_hz=100.0 acc=None torque_limit=None note='leg 7.4V, reg85=254 PERSISTED (after power cycle), acc 0' hz=2.0 ratio=0.991 lag_ms=76.6 accel_est=None"
t_s,cmd_cnt,pos_cnt,speed_raw,load_duty_permille
0.0000,2043,2043,0,0
0.0007,2043,2043,0,0
0.0011,2043,2043,0,0
0.0015,2043,2043,0,0
0.0019,2043,2043,0,0
0.0023,2043,2043,0,0
0.0026,2043,2043,0,0
0.0030,2043,2043,0,0
0.0034,2043,2043,0,0
0.0037,2043,2043,0,0
0.0041,2043,2043,0,0
0.0045,2043,2043,0,0
0.0048,2043,2043,0,0
0.0052,2043,2043,0,0
0.0056,2043,2043,0,0
0.0059,2043,2043,0,0
0.0063,2043,2043,0,0
0.0067,2043,2043,0,0
0.0071,2043,2043,0,0
0.0075,2043,2043,0,0
0.0079,2043,2043,0,0
0.0083,2043,2043,0,0
0.0087,2043,2043,0,0
0.0090,2043,2043,0,0
0.0094,2043,2043,0,0
0.0097,2043,2043,0,0
0.0101,2065,2043,0,0
0.0109,2065,2043,0,0
0.0114,2065,2043,0,0
0.0118,2065,2043,0,0
0.0122,2065,2043,0,0
0.0126,2065,2043,0,0
0.0129,2065,2043,0,0
0.0133,2065,2043,0,0
0.0137,2065,2043,0,0
0.0141,2065,2043,0,0
0.0144,2065,2043,0,0
0.0148,2065,2043,0,0
0.0152,2065,2043,0,0
0.0156,2065,2043,0,0
0.0159,2065,2043,0,0
0.0163,2065,2043,0,0
0.0167,2065,2043,0,0
0.0170,2065,2043,0,0
0.0174,2065,2043,0,0
0.0177,2065,2043,0,0
0.0181,2065,2043,0,0
0.0184,2065,2043,0,0
0.0188,2065,2043,0,0
0.0192,2065,2043,0,0
0.0195,2065,2043,0,0
0.0199,2065,2043,0,0
0.0203,2086,2043,0,0
0.0209,2086,2043,0,0
0.0213,2086,2043,0,0
0.0217,2086,2043,0,0
0.0220,2086,2043,0,-24
0.0224,2086,2043,0,-24
0.0228,2086,2043,0,-24
0.0232,2086,2043,0,-24
0.0235,2086,2043,0,-24
0.0239,2086,2043,0,-32
0.0243,2086,2043,0,-32
0.0247,2086,2043,0,-32
0.0250,2086,2043,0,-32
0.0254,2086,2043,0,-32
0.0258,2086,2043,0,-32
0.0261,2086,2043,0,-32
0.0265,2086,2043,0,-32
0.0269,2086,2043,0,-40
0.0273,2086,2043,0,-40
0.0277,2086,2043,0,-40
0.0281,2086,2043,0,-40
0.0285,2086,2043,0,-40
0.0288,2086,2043,0,-48
0.0293,2086,2043,0,-48
0.0296,2086,2043,0,-48
0.0300,2106,2043,0,-48
0.0307,2106,2043,0,-56
0.0311,2106,2043,0,-56
0.0315,2106,2043,0,-56
0.0320,2106,2043,0,-56
0.0324,2106,2043,0,-56
0.0329,2106,2043,0,-64
0.0333,2106,2043,0,-64
0.0337,2106,2043,0,-72
0.0341,2106,2043,0,-72
0.0345,2106,2043,0,-72
0.0348,2106,2043,0,-72
0.0352,2106,2043,0,-72
0.0355,2106,2043,0,-72
0.0359,2106,2043,0,-80
0.0363,2106,2043,0,-80
0.0366,2106,2043,0,-88
0.0370,2106,2043,0,-88
0.0374,2106,2043,0,-88
0.0377,2106,2043,0,-96
0.0381,2106,2043,0,-96
0.0385,2106,2043,0,-96
0.0388,2106,2043,0,-96
0.0393,2106,2043,0,-96
0.0397,2106,2043,0,-148
0.0400,2125,2043,0,-148
0.0408,2125,2043,0,-156
0.0411,2125,2043,0,-156
0.0415,2125,2043,0,-156
0.0418,2125,2043,0,-164
0.0423,2125,2043,0,-164
0.0426,2125,2043,0,-172
0.0430,2125,2043,0,-172
0.0434,2125,2043,0,-172
0.0438,2125,2043,0,-172
0.0441,2125,2043,0,-172
0.0445,2125,2043,0,-172
0.0449,2125,2043,0,-180
0.0453,2125,2043,0,-180
0.0457,2125,2043,0,-188
0.0461,2125,2043,0,-188
0.0464,2125,2043,0,-188
0.0468,2125,2043,0,-196
0.0472,2125,2043,0,-196
0.0476,2125,2043,0,-204
0.0479,2125,2043,0,-204
0.0483,2125,2043,0,-204
0.0487,2125,2043,0,-212
0.0491,2125,2043,0,-212
0.0495,2125,2043,0,-212
0.0498,2125,2043,0,-220
0.0502,2144,2043,0,-220
0.0509,2144,2044,0,-220
0.0513,2144,2044,0,-220
0.0517,2144,2044,0,-228
0.0521,2144,2044,0,-228
0.0525,2144,2044,0,-228
0.0529,2144,2044,0,-244
0.0534,2144,2044,0,-244
0.0537,2144,2044,0,-252
0.0541,2144,2044,0,-252
0.0545,2144,2044,0,-252
0.0548,2144,2045,0,-252
0.0553,2144,2045,0,-252
0.0557,2144,2045,0,-260
0.0560,2144,2045,0,-260
0.0564,2144,2045,0,-260
0.0568,2144,2045,0,-268
0.0572,2144,2045,0,-268
0.0576,2144,2046,0,-276
0.0580,2144,2046,0,-276
0.0584,2144,2046,0,-276
0.0587,2144,2046,0,-284
0.0591,2144,2046,0,-284
0.0595,2144,2046,0,-284
0.0599,2144,2047,0,-308
0.0603,2160,2047,0,-316
0.0610,2160,2047,0,-316
0.0614,2160,2047,0,-316
0.0617,2160,2048,0,-324
0.0621,2160,2048,0,-324
0.0625,2160,2048,0,-332
0.0629,2160,2048,0,-332
0.0633,2160,2048,0,-332
0.0637,2160,2049,0,-340
0.0640,2160,2049,0,-340
0.0644,2160,2049,0,-340
0.0648,2160,2049,0,-348
0.0652,2160,2049,0,-348
0.0655,2160,2050,0,-348
0.0659,2160,2050,0,-348
0.0663,2160,2050,0,-348
0.0666,2160,2051,0,-356
0.0670,2160,2051,0,-356
0.0674,2160,2051,0,-356
0.0678,2160,2051,400,-364
0.0681,2160,2051,400,-364
0.0685,2160,2052,400,-372
0.0689,2160,2052,400,-372
0.0693,2160,2052,400,-372
0.0697,2160,2053,400,-372
0.0701,2175,2053,400,-372
0.0708,2175,2053,400,-388
0.0711,2175,2053,400,-388
0.0716,2175,2054,400,-396
0.0719,2175,2054,400,-396
0.0724,2175,2054,400,-396
0.0728,2175,2055,400,-396
0.0732,2175,2055,400,-396
0.0735,2175,2056,400,-404
0.0739,2175,2056,400,-404
0.0743,2175,2056,400,-404
0.0748,2175,2056,400,-420
0.0752,2175,2056,400,-420
0.0756,2175,2057,400,-420
0.0760,2175,2057,400,-420
0.0763,2175,2057,400,-420
0.0768,2175,2058,400,-428
0.0771,2175,2058,400,-428
0.0775,2175,2059,400,-436
0.0779,2175,2059,400,-436
0.0783,2175,2059,400,-436
0.0787,2175,2060,400,-444
0.0790,2175,2060,400,-444
0.0794,2175,2061,400,-444
0.0798,2175,2061,400,-444
0.0802,2187,2062,400,-452
0.0808,2187,2062,400,-452
0.0813,2187,2062,400,-452
0.0816,2187,2063,400,-460
0.0820,2187,2063,400,-460
0.0824,2187,2063,400,-460
0.0827,2187,2064,400,-468
0.0831,2187,2064,400,-468
0.0834,2187,2065,400,-476
0.0838,2187,2065,400,-476
0.0843,2187,2065,400,-476
0.0847,2187,2066,400,-484
0.0850,2187,2066,400,-484
0.0854,2187,2067,400,-492
0.0858,2187,2067,400,-492
0.0862,2187,2067,400,-492
0.0865,2187,2068,400,-500
0.0869,2187,2068,400,-500
0.0873,2187,2068,400,-500
0.0876,2187,2069,900,-500
0.0880,2187,2069,900,-500
0.0884,2187,2070,900,-508
0.0888,2187,2070,900,-508
0.0891,2187,2070,900,-508
0.0895,2187,2071,900,-516
0.0899,2187,2071,900,-516
0.0903,2198,2073,900,-516
0.0910,2198,2073,900,-516
0.0913,2198,2073,900,-516
0.0917,2198,2074,900,-524
0.0920,2198,2074,900,-524
0.0924,2198,2075,900,-524
0.0928,2198,2075,900,-524
0.0933,2198,2075,900,-524
0.0937,2198,2077,900,-524
0.0941,2198,2077,900,-524
0.0945,2198,2078,900,-532
0.0948,2198,2078,900,-532
0.0953,2198,2078,900,-532
0.0957,2198,2079,900,-540
0.0960,2198,2079,900,-540
0.0964,2198,2081,900,-540
0.0967,2198,2081,900,-540
0.0971,2198,2081,900,-540
0.0975,2198,2082,900,-540
0.0979,2198,2082,900,-540
0.0983,2198,2082,900,-540
0.0986,2198,2084,900,-540
0.0990,2198,2084,900,-540
0.0994,2198,2085,900,-532
0.0998,2198,2085,900,-532
0.1002,2205,2086,900,-540
0.1009,2205,2086,900,-540
0.1013,2205,2086,900,-540
0.1017,2205,2088,900,-532
0.1020,2205,2088,900,-532
0.1024,2205,2089,900,-540
0.1027,2205,2089,900,-540
0.1031,2205,2089,900,-540
0.1035,2205,2090,900,-548
0.1038,2205,2090,900,-548
0.1042,2205,2090,900,-548
0.1045,2205,2092,900,-540
0.1049,2205,2092,900,-540
0.1053,2205,2092,900,-540
0.1056,2205,2093,900,-548
0.1060,2205,2093,900,-548
0.1064,2205,2095,900,-548
0.1067,2205,2095,900,-548
0.1071,2205,2095,900,-548
0.1075,2205,2096,1350,-548
0.1078,2205,2096,1350,-548
0.1083,2205,2096,1350,-548
0.1086,2205,2098,1350,-548
0.1090,2205,2098,1350,-548
0.1094,2205,2100,1350,-540
0.1098,2205,2100,1350,-540
0.1101,2211,2101,1350,-548
0.1108,2211,2101,1350,-548
0.1113,2211,2103,1350,-540
0.1117,2211,2103,1350,-540
0.1120,2211,2103,1350,-540
0.1125,2211,2105,1350,-540
0.1128,2211,2105,1350,-540
0.1132,2211,2105,1350,-540
0.1137,2211,2106,1350,-548
0.1141,2211,2106,1350,-548
0.1148,2211,2108,1350,-540
0.1153,2211,2109,1350,-548
0.1157,2211,2109,1350,-548
0.1161,2211,2109,1350,-548
0.1164,2211,2111,1350,-540
0.1168,2211,2111,1350,-540
0.1172,2211,2111,1350,-540
0.1175,2211,2112,1350,-540
