"# servo_id=1 center=2044 amp_deg=15.0 cmd_hz=100.0 acc=None torque_limit=1000 note='leg 7.4V no load, reg85=254 (volatile), TL=1000' hz=2.0 ratio=0.991 lag_ms=74.8 accel_est=None"
t_s,cmd_cnt,pos_cnt,speed_raw,load_duty_permille
0.0000,2044,2044,0,0
0.0007,2044,2044,0,0
0.0011,2044,2044,0,0
0.0015,2044,2044,0,0
0.0019,2044,2044,0,0
0.0024,2044,2044,0,0
0.0028,2044,2044,0,0
0.0031,2044,2044,0,0
0.0035,2044,2044,0,0
0.0039,2044,2044,0,0
0.0043,2044,2044,0,0
0.0047,2044,2044,0,0
0.0051,2044,2044,0,0
0.0055,2044,2044,0,0
0.0058,2044,2044,0,0
0.0062,2044,2044,0,0
0.0066,2044,2044,0,0
0.0070,2044,2044,0,0
0.0074,2044,2044,0,0
0.0078,2044,2044,0,0
0.0081,2044,2044,0,0
0.0085,2044,2044,0,0
0.0089,2044,2044,0,0
0.0093,2044,2044,0,0
0.0096,2044,2044,0,0
0.0100,2044,2044,0,0
0.0104,2066,2044,0,0
0.0111,2066,2044,0,0
0.0114,2066,2044,0,0
0.0118,2066,2044,0,0
0.0122,2066,2044,0,0
0.0125,2066,2044,0,0
0.0129,2066,2044,0,0
0.0133,2066,2044,0,0
0.0137,2066,2044,0,0
0.0141,2066,2044,0,0
0.0144,2066,2044,0,0
0.0148,2066,2044,0,0
0.0152,2066,2044,0,0
0.0155,2066,2044,0,0
0.0159,2066,2044,0,0
0.0162,2066,2044,0,0
0.0166,2066,2044,0,0
0.0169,2066,2044,0,0
0.0174,2066,2044,0,0
0.0177,2066,2044,0,0
0.0181,2066,2044,0,0
0.0185,2066,2044,0,0
0.0189,2066,2044,0,0
0.0193,2066,2044,0,0
0.0197,2066,2044,0,0
0.0201,2087,2044,0,0
0.0208,2087,2044,0,0
0.0212,2087,2044,0,0
0.0216,2087,2044,0,0
0.0220,2087,2044,0,0
0.0224,2087,2044,0,0
0.0227,2087,2044,0,-24
0.0231,2087,2044,0,-24
0.0235,2087,2044,0,-24
0.0239,2087,2044,0,-24
0.0244,2087,2044,0,-24
0.0247,2087,2044,0,-32
0.0251,2087,2044,0,-32
0.0255,2087,2044,0,-32
0.0259,2087,2044,0,-32
0.0263,2087,2044,0,-32
0.0267,2087,2044,0,-32
0.0271,2087,2044,0,-32
0.0275,2087,2044,0,-40
0.0279,2087,2044,0,-40
0.0282,2087,2044,0,-40
0.0286,2087,2044,0,-40
0.0290,2087,2044,0,-40
0.0294,2087,2044,0,-40
0.0298,2087,2044,0,-48
0.0301,2107,2044,0,-48
0.0309,2107,2044,0,-48
0.0312,2107,2044,0,-48
0.0316,2107,2044,0,-56
0.0320,2107,2044,0,-56
0.0324,2107,2044,0,-56
0.0327,2107,2044,0,-56
0.0331,2107,2044,0,-56
0.0335,2107,2044,0,-64
0.0339,2107,2044,0,-64
0.0342,2107,2044,0,-64
0.0346,2107,2044,0,-72
0.0350,2107,2044,0,-72
0.0354,2107,2044,0,-72
0.0358,2107,2044,0,-72
0.0362,2107,2044,0,-72
0.0365,2107,2044,0,-80
0.0369,2107,2044,0,-80
0.0373,2107,2044,0,-80
0.0377,2107,2044,0,-124
0.0381,2107,2044,0,-124
0.0385,2107,2044,0,-132
0.0388,2107,2044,0,-132
0.0392,2107,2044,0,-132
0.0396,2107,2044,0,-132
0.0400,2126,2044,0,-132
0.0407,2126,2044,0,-140
0.0411,2126,2044,0,-140
0.0415,2126,2044,0,-148
0.0419,2126,2044,0,-148
0.0422,2126,2044,0,-148
0.0426,2126,2044,0,-156
0.0430,2126,2044,0,-156
0.0434,2126,2044,0,-164
0.0438,2126,2044,0,-164
0.0442,2126,2044,0,-164
0.0445,2126,2044,0,-164
0.0449,2126,2044,0,-164
0.0453,2126,2044,0,-164
0.0457,2126,2044,0,-172
0.0461,2126,2044,0,-172
0.0465,2126,2045,0,-172
0.0469,2126,2045,0,-172
0.0472,2126,2045,0,-172
0.0476,2126,2045,0,-180
0.0480,2126,2045,0,-180
0.0484,2126,2045,0,-188
0.0487,2126,2045,0,-188
0.0491,2126,2045,0,-188
0.0495,2126,2045,0,-196
0.0499,2126,2045,0,-196
0.0503,2145,2046,0,-196
0.0511,2145,2046,0,-196
0.0514,2145,2046,0,-204
0.0518,2145,2046,0,-204
0.0522,2145,2046,0,-204
0.0526,2145,2046,0,-212
0.0530,2145,2046,0,-212
0.0534,2145,2047,0,-220
0.0538,2145,2047,0,-220
0.0541,2145,2047,0,-220
0.0545,2145,2047,0,-228
0.0549,2145,2047,0,-228
0.0554,2145,2047,0,-236
0.0557,2145,2047,0,-236
0.0561,2145,2047,0,-236
0.0565,2145,2048,0,-236
0.0569,2145,2048,0,-236
0.0574,2145,2048,0,-268
0.0577,2145,2048,0,-268
0.0581,2145,2048,0,-268
0.0585,2145,2048,0,-284
0.0589,2145,2048,0,-284
0.0592,2145,2048,0,-284
0.0596,2145,2049,250,-284
0.0600,2145,2049,250,-284
0.0604,2161,2049,250,-292
0.0611,2161,2049,250,-292
0.0615,2161,2050,250,-292
0.0618,2161,2050,250,-292
0.0622,2161,2050,250,-292
0.0626,2161,2050,250,-308
0.0630,2161,2050,250,-308
0.0634,2161,2051,250,-308
0.0638,2161,2051,250,-308
0.0642,2161,2051,250,-308
0.0646,2161,2051,250,-324
0.0649,2161,2051,250,-324
0.0654,2161,2052,250,-324
0.0657,2161,2052,250,-324
0.0661,2161,2052,250,-324
0.0665,2161,2053,250,-324
0.0669,2161,2053,250,-324
0.0674,2161,2053,250,-340
0.0677,2161,2053,250,-340
0.0681,2161,2053,250,-340
0.0685,2161,2054,250,-340
0.0689,2161,2054,250,-340
0.0694,2161,2054,250,-356
0.0697,2161,2054,250,-356
0.0701,2176,2055,250,-356
0.0708,2176,2055,250,-356
0.0712,2176,2056,250,-364
0.0716,2176,2056,250,-364
0.0720,2176,2056,250,-364
0.0724,2176,2057,250,-372
0.0727,2176,2057,250,-372
0.0731,2176,2057,250,-372
0.0735,2176,2058,250,-372
0.0739,2176,2058,250,-372
0.0743,2176,2058,250,-388
0.0747,2176,2058,250,-388
0.0751,2176,2058,250,-388
0.0755,2176,2059,250,-396
0.0759,2176,2059,250,-396
0.0763,2176,2060,250,-396
0.0767,2176,2060,250,-396
0.0770,2176,2060,250,-396
0.0774,2176,2061,250,-412
0.0778,2176,2061,250,-412
0.0782,2176,2062,250,-420
0.0786,2176,2062,250,-420
0.0790,2176,2062,250,-420
0.0794,2176,2063,700,-428
0.0798,2176,2063,700,-428
0.0802,2188,2063,700,-436
0.0809,2188,2063,700,-436
0.0814,2188,2064,700,-444
0.0817,2188,2064,700,-444
0.0821,2188,2064,700,-444
0.0825,2188,2065,700,-452
0.0829,2188,2065,700,-452
0.0834,2188,2066,700,-460
0.0837,2188,2066,700,-460
0.0841,2188,2066,700,-460
0.0845,2188,2067,700,-468
0.0849,2188,2067,700,-468
0.0853,2188,2068,700,-476
0.0858,2188,2068,700,-476
0.0861,2188,2069,700,-484
0.0865,2188,2069,700,-484
0.0869,2188,2069,700,-484
0.0874,2188,2070,700,-492
0.0877,2188,2070,700,-492
0.0881,2188,2070,700,-492
0.0885,2188,2071,700,-492
0.0889,2188,2071,700,-492
0.0894,2188,2072,700,-500
0.0897,2188,2072,700,-500
0.0901,2199,2074,700,-500
0.0909,2199,2074,700,-500
0.0912,2199,2075,700,-508
0.0916,2199,2075,700,-508
0.0920,2199,2075,700,-508
0.0924,2199,2076,700,-516
0.0928,2199,2076,700,-516
0.0932,2199,2077,700,-524
0.0935,2199,2077,700,-524
0.0939,2199,2077,700,-524
0.0943,2199,2078,700,-524
0.0947,2199,2078,700,-524
0.0951,2199,2080,700,-524
0.0955,2199,2080,700,-524
0.0959,2199,2080,700,-524
0.0964,2199,2081,700,-532
0.0967,2199,2081,700,-532
0.0971,2199,2082,700,-536
0.0975,2199,2082,700,-536
0.0979,2199,2082,700,-536
0.0984,2199,2084,700,-536
0.0988,2199,2084,700,-536
0.0992,2199,2085,1100,-536
0.0996,2199,2085,1100,-536
0.0999,2199,2085,1100,-536
0.1004,2207,2086,1100,-544
0.1011,2207,2088,1100,-544
0.1015,2207,2088,1100,-544
0.1019,2207,2088,1100,-544
0.1022,2207,2089,1100,-544
0.1026,2207,2089,1100,-544
0.1030,2207,2089,1100,-544
0.1034,2207,2090,1100,-552
0.1038,2207,2090,1100,-552
0.1042,2207,2092,1100,-552
0.1046,2207,2092,1100,-552
0.1050,2207,2092,1100,-552
0.1054,2207,2093,1100,-560
0.1058,2207,2093,1100,-560
0.1062,2207,2095,1100,-552
0.1066,2207,2095,1100,-552
0.1069,2207,2095,1100,-552
0.1073,2207,2096,1100,-560
0.1077,2207,2096,1100,-560
0.1081,2207,2097,1100,-560
0.1085,2207,2097,1100,-560
0.1089,2207,2097,1100,-560
0.1093,2207,2099,1100,-560
0.1096,2207,2099,1100,-560
0.1100,2212,2101,1100,-560
0.1108,2212,2101,1100,-560
0.1111,2212,2102,1100,-560
0.1115,2212,2102,1100,-560
0.1119,2212,2102,1100,-560
0.1124,2212,2104,1100,-560
0.1127,2212,2104,1100,-560
0.1131,2212,2106,1100,-552
0.1135,2212,2106,1100,-552
0.1139,2212,2106,1100,-552
0.1143,2212,2107,1100,-560
0.1147,2212,2107,1100,-560
0.1151,2212,2109,1100,-552
0.1155,2212,2109,1100,-552
0.1159,2212,2109,1100,-552
0.1163,2212,2111,1100,-552
0.1167,2212,2111,1100,-552
0.1170,2212,2112,1100,-496
0.1174,2212,2112,1100,-496
0.1177,2212,2112,1100,-496
0.1181,2212,2113,1100,-504
0.1185,2212,2113,1100,-504
0.1189,2212,2113,1100,-504
0.1193,2212,2115,1500,-496
0.1196,2212,2115,1500,-496
0.1200,2212,2117,1500,-496
0.1203,2214,2117,1500,-496
0.1211,2214,2118,1500,-496
0.1215,2214,2118,1500,-496
0.1218,2214,2118,1500,-496
0.1222,2214,2120,1500,-488
0.1226,2214,2120,1500,-488
0.1230,2214,2122,1500,-488
0.1234,2214,2122,1500,-488
0.1237,2214,2122,1500,-488
0.1241,2214,2124,1500,-480
0.1245,2214,2124,1500,-480
0.1248,2214,2124,1500,-480
0.1252,2214,2125,1500,-480
0.1256,2214,2125,1500,-480
0.1260,2214,2127,1500,-472
0.1264,2214,2127,1500,-472
0.1267,2214,2127,1500,-472
0.1271,2214,2129,1500,-472
0.1274,2214,2129,1500,-472
0.1278,2214,2129,1500,-472
0.1282,2214,2131,1500,-464
0.1285,2214,2131,1500,-464
0.1289,2214,2131,1500,-464
0.1292,2214,2132,1500,-464
0.1296,2214,2132,1500,-464
0.1300,2214,2134,1500,-456
0.1304,2214,2134,1500,-456
0.1311,2214,2135,1500,-456
0.1315,2214,2135,1500,-456
0.1319,2214,2135,1500,-456
0.1322,2214,2137,1500,-448
0.1326,2214,2137,1500,-448
0.1330,2214,2139,1500,-440
0.1334,2214,2139,1500,-440
0.1337,2214,2139,1500,-440
0.1341,2214,2141,1500,-440
0.1345,2214,2141,1500,-440
0.1349,2214,2142,1500,-440
0.1353,2214,2142,1500,-440
0.1357,2214,2142,1500,-440
0.1361,2214,2144,1500,-432
0.1365,2214,2144,1500,-432
0.1368,2214,2144,1500,-432
0.1372,2214,2146,1500,-368
0.1376,2214,2146,1500,-368
0.1380,2214,2148,1500,-360
0.1384,2214,2148,1500,-360
0.1387,2214,2148,1500,-360
0.1391,2214,2149,1700,-360
0.1395,2214,2149,1700,-360
0.1399,2214,2151,1700,-352
0.1403,2212,2151,1700,-352
0.1410,2212,2153,1700,-344
0.1414,2212,2153,1700,-344
0.1418,2212,2153,1700,-344
0.1421,2212,2154,1700,-344
0.1425,2212,2154,1700,-344
0.1429,2212,2156,1700,-336
0.1432,2212,2156,1700,-336
0.1436,2212,2156,1700,-336
0.1439,2212,2158,1700,-328
0.1444,2212,2158,1700,-328
0.1448,2212,2158,1700,-328
0.1451,2212,2159,1700,-320
0.1455,2212,2159,1700,-320
0.1458,2212,2161,1700,-312
0.1462,2212,2161,1700,-312
0.1466,2212,2161,1700,-312
0.1470,2212,2162,1700,-312
0.1474,2212,2162,1700,-312
0.1478,2212,2162,1700,-312
0.1481,2212,2163,1700,-304
0.1485,2212,2163,1700,-304
0.1489,2212,2165,1700,-296
0.1493,2212,2165,1700,-296
0.1497,2212,2165,1700,-296
0.1501,2206,2167,1700,-288
0.1508,2206,2168,1700,-280
0.1512,2206,2168,1700,-280
0.1516,2206,2168,1700,-280
0.1520,2206,2170,1700,-272
0.1524,2206,2170,1700,-272
0.1528,2206,2170,1700,-272
0.1531,2206,2171,1700,-264
