"# servo_id=1 center=2044 amp_deg=15.0 cmd_hz=100.0 acc=None torque_limit=1000 note='leg 7.4V no load, reg85=254 (volatile), TL=1000' hz=3.0 ratio=0.546 lag_ms=170.9 accel_est=39.8143576469988"
t_s,cmd_cnt,pos_cnt,speed_raw,load_duty_permille
0.0001,2044,2045,0,0
0.0010,2044,2045,0,0
0.0014,2044,2045,0,0
0.0018,2044,2045,0,0
0.0022,2044,2045,0,0
0.0026,2044,2045,0,0
0.0030,2044,2045,0,0
0.0034,2044,2045,0,0
0.0038,2044,2045,0,0
0.0042,2044,2045,0,0
0.0046,2044,2045,0,0
0.0050,2044,2045,0,0
0.0054,2044,2045,0,0
0.0058,2044,2045,0,0
0.0062,2044,2045,0,0
0.0066,2044,2045,0,0
0.0070,2044,2045,0,0
0.0073,2044,2045,0,0
0.0077,2044,2045,0,0
0.0081,2044,2045,0,0
0.0084,2044,2045,0,0
0.0088,2044,2045,0,0
0.0092,2044,2045,0,0
0.0096,2044,2045,0,0
0.0100,2076,2045,0,0
0.0107,2076,2045,0,0
0.0112,2076,2045,0,0
0.0116,2076,2045,0,0
0.0119,2076,2045,0,0
0.0123,2076,2045,0,0
0.0127,2076,2045,0,0
0.0131,2076,2045,0,0
0.0135,2076,2045,0,0
0.0139,2076,2045,0,0
0.0143,2076,2045,0,0
0.0147,2076,2045,0,0
0.0151,2076,2045,0,0
0.0155,2076,2045,0,0
0.0158,2076,2045,0,0
0.0162,2076,2045,0,0
0.0166,2076,2045,0,0
0.0170,2076,2045,0,0
0.0174,2076,2045,0,0
0.0177,2076,2045,0,0
0.0182,2076,2045,0,0
0.0186,2076,2045,0,0
0.0189,2076,2045,0,0
0.0193,2076,2045,0,0
0.0197,2076,2045,0,0
0.0202,2107,2045,0,0
0.0209,2107,2045,0,0
0.0213,2107,2045,0,0
0.0217,2107,2045,0,0
0.0221,2107,2045,0,0
0.0224,2107,2045,0,0
0.0228,2107,2045,0,0
0.0232,2107,2045,0,0
0.0236,2107,2045,0,0
0.0240,2107,2045,0,-24
0.0244,2107,2045,0,-24
0.0248,2107,2045,0,-24
0.0252,2107,2045,0,-24
0.0256,2107,2045,0,-24
0.0260,2107,2045,0,-24
0.0263,2107,2045,0,-24
0.0267,2107,2045,0,-24
0.0272,2107,2045,0,-40
0.0276,2107,2045,0,-40
