# servo_id=1 start=2049 goal=3073 step_deg=90 step_t=0.2008s volt=7.5 cnt_per_rev=4096 note='no-load 7.5V'
t_s,cmd_cnt,pos_cnt,speed_raw,load_raw
0.0000,2049,2049,0,0
0.0005,2049,2049,0,0
0.0013,2049,2049,0,0
0.0019,2049,2049,0,0
0.0024,2049,2049,0,0
0.0029,2049,2049,0,0
0.0034,2049,2049,0,0
0.0039,2049,2049,0,0
0.0044,2049,2049,0,0
0.0050,2049,2049,0,0
0.0055,2049,2049,0,0
0.0060,2049,2049,0,0
0.0066,2049,2049,0,0
0.0071,2049,2049,0,0
0.0077,2049,2049,0,0
0.0082,2049,2049,0,0
0.0088,2049,2049,0,0
0.0093,2049,2049,0,0
0.0098,2049,2049,0,0
0.0103,2049,2049,0,0
0.0108,2049,2049,0,0
0.0113,2049,2049,0,0
0.0118,2049,2049,0,0
0.0123,2049,2049,0,0
0.0128,2049,2049,0,0
0.0133,2049,2049,0,0
0.0138,2049,2049,0,0
0.0143,2049,2049,0,0
0.0149,2049,2049,0,0
0.0154,2049,2049,0,0
0.0159,2049,2049,0,0
0.0164,2049,2049,0,0
0.0169,2049,2049,0,0
0.0176,2049,2049,0,0
0.0181,2049,2049,0,0
0.0186,2049,2049,0,0
0.0191,2049,2049,0,0
0.0196,2049,2049,0,0
0.0201,2049,2049,0,0
0.0206,2049,2049,0,0
0.0211,2049,2049,0,0
0.0216,2049,2049,0,0
0.0221,2049,2049,0,0
0.0226,2049,2049,0,0
0.0231,2049,2049,0,0
0.0236,2049,2049,0,0
0.0242,2049,2049,0,0
0.0247,2049,2049,0,0
0.0252,2049,2049,0,0
0.0256,2049,2049,0,0
0.0261,2049,2049,0,0
0.0266,2049,2049,0,0
0.0270,2049,2049,0,0
0.0275,2049,2049,0,0
0.0280,2049,2049,0,0
0.0285,2049,2049,0,0
0.0291,2049,2049,0,0
0.0296,2049,2049,0,0
0.0301,2049,2049,0,0
0.0307,2049,2049,0,0
0.0312,2049,2049,0,0
0.0317,2049,2049,0,0
0.0322,2049,2049,0,0
0.0328,2049,2049,0,0
0.0333,2049,2049,0,0
